"STRATFORD-ON-AVON SHOTTERY HALL",,,,,,,,,,,,
Grid ref,SP185549,Long,-1.730785,Lat,52.192033,,,,,,,
Station no,2444,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.63,0.93,0.54,1.91,1.87,1.00,3.85,0.97,0.96,1.11,,
February,4.20,1.18,0.89,1.12,3.05,0.60,1.53,1.11,1.23,0.50,,
March,0.69,1.51,1.33,3.15,1.22,2.76,0.83,0.75,2.50,3.21,,
April,1.10,2.40,2.20,1.50,0.89,1.99,0.65,2.13,2.75,1.72,,
May,1.69,1.00,3.19,2.67,3.08,0.23,1.93,3.47,1.57,1.32,,
June,2.37,1.60,2.58,2.42,0.40,3.52,3.60,2.11,1.79,3.47,,
July,1.03,2.80,1.18,2.78,3.03,0.83,1.10,1.86,2.06,3.24,,
August,3.39,2.22,3.58,3.33,1.68,4.57,0.85,2.97,2.51,2.23,,
September,0.43,1.25,1.23,1.78,2.14,1.36,1.26,0.50,1.30,2.88,,
October,2.34,1.50,2.33,5.52,0.55,1.16,3.96,5.37,1.97,2.82,,
November,1.93,0.67,1.60,1.70,1.10,1.92,2.79,1.75,1.17,0.52,,
December,5.24,3.04,1.36,0.94,1.66,0.83,1.76,3.36,1.83,3.10,,
Total,27.04,20.10,22.01,28.82,20.67,20.77,24.11,26.35,21.64,26.12,,
Calc annual,27.04,20.10,22.01,28.82,20.67,20.77,24.11,26.35,21.64,26.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
