HERTFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL338134,Long,-0.06087,Lat,51.8032,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,0.39,0.87,2.29,1.5,1.01,0.4,0.83,1.08,2.95,1.96,3.08,2.27,1.13,0.96,3.45,4.25,1.56,1.67,0.87,5.21,,
February,,,,,,,,,1.18,1.34,0.62,1.13,0.56,0.42,0.73,2.38,3.16,1.53,1,1.2,1.34,1.42,0.95,1.76,1.32,0.36,1.85,2.65,,
March,,,,,,,,,0.03,1.44,1.41,1.15,3.65,0.53,3.1,1.42,1.77,1.97,2.43,0.46,1.31,1.73,2.29,1.64,0.67,0.53,2.8,3.01,,
April,,,,,,,,,2.71,1.87,0.9,1.3,2.61,0.72,0.89,0.29,2.13,1.85,1.62,1.72,0.3,2.63,1.8,1.45,1.77,0.95,2.82,2.06,,
May,,,,,,,,,2.06,1.47,2.85,0.2,2.18,0.74,2.1,1.95,1.22,2.1,0.69,2.88,1.07,0.7,2.26,1.51,1.41,1.57,1.83,2.65,,
June,,,,,,,,,0.61,2.09,5.56,0.58,2.55,3.63,1.41,1.32,2.91,0.85,0.26,1,0.86,2.96,3.41,2.07,1.79,1.5,1.2,1.08,,
July,,,,,,,,,1.94,2.8,2.56,2.8,2.26,1.2,0.45,3.67,2.75,3.07,0.14,0.87,0.29,3.02,1.36,2.92,1.59,5.45,0.47,3.6,,
August,,,,,,,,,2.99,2.27,4.69,0.57,2.12,1.75,1.37,3.33,2.73,2.53,2.68,1.09,1.32,2.91,2.4,1.96,1.19,1.98,2.94,3.19,,
September,,,,,,,,,0.64,2.89,2.99,1.88,1.76,2.52,0.57,0.69,3.56,2.58,2.11,2.53,2.06,4.53,1.16,1.12,1.68,3.36,3.91,1.41,,
October,,,,,,,,,0.96,3.06,1.52,0.89,3.94,2.6,0.98,6.17,2.19,2.5,2.34,2.03,3.81,1.2,5.45,4.64,2.87,4.45,2.12,1.58,,
November,,,,,,,,,0.36,2.29,2.03,2.98,0.97,1.8,1.91,1.87,1.89,0.2,1.07,2.27,1,0.59,3.8,4.74,2.15,4.11,4.07,4.33,,
December,,,,,,,,,1.78,2.43,1.2,1.81,1.29,1.09,0.21,1.24,2.26,2.74,5.08,3.29,2.43,1.62,3.87,3.87,1.35,1.06,6.57,2.28,,
Total,,,,,,,,,15.65,24.82,28.62,16.79,24.9,17.4,14.55,25.41,29.52,23.88,22.5,21.61,16.92,24.27,32.2,31.93,19.35,26.99,31.45,33.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obsever: Grindle, Chief Engineer of the Sewage Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
