HORLEY (GATWICK AIRPORT),,,,,,,,,,,,
Grid ref,TQ265407,Long,-0.192694,Lat,51.151587,,,,,,,
Station no,109/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.88,3.10,,
February,,,,,,,,,0.06,2.24,,
March,,,,,,,,,2.72,1.90,,
April,,,,,,,,,2.72,0.88,,
May,,,,,,,,,0.63,1.59,,
June,,,,,,,,3.77,0.97,1.85,,
July,,,,,,,,1.53,1.21,3.58,,
August,,,,,,,,3.29,1.15,4.39,,
September,,,,,,,,5.65,0.11,3.72,,
October,,,,,,,,3.31,3.51,6.45,,
November,,,,,,,,1.97,3.38,6.17,,
December,,,,,,,,3.89,6.98,3.47,,
Total,,,,,,,,,26.32,39.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.41,26.32,39.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
