LONDONDERRY KNOCKAN,,,,,,,,,,,,,,,,,,,,
Grid ref,IC6466006319,Long,-6.992729598,Lat,54.90053201,Elevation,300,ft,,,,,,,,,,,,
Station no,RR2957,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.64,2.34,8.23,5.39,2.39,2.23,0.99,2.79,7.24,6.93,3.6,7.35,3.35,3.22,4.98
February,,,,,,0.87,5.44,5.01,1.87,2.01,4.19,4.49,3.77,6.1,5.19,4.27,2.77,2.82,1.45,3.75
March,,,,,,1.92,5.52,2.88,2.85,2.6,2.42,5.8,4.5,2.8,4.68,3.72,2.99,1.83,4.2,2.49
April,,,,,,0.81,2.72,3.42,2.81,1.8,4.96,1.41,3.41,2.38,1.99,3.34,2.57,2.28,2.8,4.02
May,,,,,,2.19,0.54,2.37,5.11,3.13,1.39,1.79,1.92,2.6,3.38,3.28,3.32,2.45,3,2.62
June,,,,,,2.94,2.7,3.38,4.03,4.21,2.63,3.52,3.93,1.9,1.39,0.53,2.54,0.87,3.72,0.37
July,,,,,,2.45,2.39,5.39,0.73,6.19,5.43,2.98,7.75,3.99,3.13,1.66,2.96,3.37,5.22,3.49
August,,,,,,2.9,3.87,5.07,4.37,3.5,2.11,4.33,2.99,4.21,2.56,2.39,1.62,3.29,4.64,7.32
September,,,,,,4.54,3.62,2.53,4.63,4.28,2.95,2.41,4.78,5.13,3.86,5.96,3.96,4.05,1.82,3.49
October,,,,,,4.7,4.45,6.02,6.05,2.41,1.4,5.08,2.81,5.15,4.88,5.24,5.23,3.63,2.47,5.52
November,,,,,,4.86,3.97,6.68,4.5,2.02,6.94,5.51,9.05,5.94,5.13,2.89,4.5,2.65,6.54,2.33
December,,,,,,3.28,9.58,6.2,5.03,2.78,3.94,4.97,4.61,4.47,5.82,3.45,6.63,4.05,4.28,4.11
Total,,,,,,35.1,47.14,57.18,47.37,37.32,40.59,43.28,52.31,51.91,48.94,40.33,46.44,34.64,43.36,44.49
