LOW LIGHTS NORTH SHIELDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ364685,Long,-1.4323,Lat,55.0104,Elevation,22,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,2.95,0.96,1.52,1.3,3.28,1.86,2.26,1.47,1,2.71,0.86,1.58,2.56,0.74,3.2,2.8,1.15,0.41,1.4,0.64,1.56,3.01,1.69,2.62,1.67,1.4,
February,,,,0.39,2.44,1.46,1.88,0.7,1.39,1.26,1.69,1.84,2.02,1.67,0.67,1.65,2.36,1.96,0.99,3.09,1.56,3.69,0.64,1.58,1.07,1.04,1.47,0.37,1.02,
March,,,,1.38,3.27,1.4,2.4,1.87,1.05,1.25,1.01,0.53,3.16,1.71,0.97,0.59,1.96,2.77,1.1,0.67,1.53,1.58,1.08,1.76,2.35,2.18,2.39,1.72,4.45,
April,,,,1.18,1.67,1.47,1.83,1.89,2.79,1.65,0.72,3.49,1.75,1.08,0.63,0.7,3.18,4.13,1.94,2.21,1.87,1.29,3.01,1.22,2.26,1.52,1.61,0.78,1.19,
May,,,,1.48,2.6,3.89,1.08,2.12,0.87,2.47,1.2,1.44,1.59,2.78,2.37,1.06,1.02,1.9,2.45,1.73,1.37,1.66,2.33,1.45,0.74,2.54,2.6,1.41,0.39,
June,,,2.91,4.14,1.98,0.69,1.57,1.48,0.44,1.15,2.51,2.71,2.67,1.27,0.86,1.88,1.97,1.15,1.94,3.77,1.14,1.48,3.81,2.37,1.33,1.6,1.18,0.28,1.9,
July,,,2.17,0.8,0.74,1.91,3.54,2.94,0.42,0.66,0.5,3.17,2.27,2.32,1.73,5.14,2.89,2.89,0.66,4.07,4.84,3.74,3.94,3.99,2.03,1.59,4.13,0.88,5.3,
August,,,5.46,2.72,1.34,2.76,3.23,2.27,1.87,1.08,1.97,0.94,3.27,2.78,1.62,3.12,1.37,6.21,4.33,3.41,1.41,4.14,4.08,2.49,0.79,3.6,1.85,2.4,1.19,
September,,,1.11,2.17,1.58,0.53,3.3,1.77,3.79,2.74,0.7,3.92,4.83,1.69,1.77,3.2,2.82,1.23,1.59,0.82,3.97,4.63,1.66,3.46,1.27,2.47,1.79,5.23,1.4,
October,,,1.5,3.48,4.57,5.81,1.46,1.13,2.2,2.89,3.42,1.8,4.95,2.26,1.67,3.36,1.76,2.54,1.82,0.6,4.32,2.89,3.1,1.19,1.82,4.47,3.02,3.21,0.78,
November,,,0.7,2.57,2.27,2.7,2.24,0.99,2.3,2.69,3.55,1.68,3.78,1.17,3.13,5.62,3.07,1.46,6.72,3.88,2.14,1.22,2.89,1.07,1.64,1.9,3.09,2.7,1.73,
December,,,1.4,1.84,2.58,1.42,2.79,2.05,3.48,2.32,4.91,1.59,4.35,0.26,4.16,1.31,6.32,2.2,4.59,0.9,3.7,1.76,3.2,2.58,1.7,0.75,3.24,3.12,1.46,
Total,,,,25.1,26,25.56,26.62,22.49,22.46,22.42,23.65,24.11,37.35,19.85,21.16,30.19,29.46,31.64,30.93,26.3,28.26,29.48,30.38,24.72,20.01,25.35,28.99,23.77,22.21,
