WYTHBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY318139,Long,-3.055,Lat,54.51579,Elevation,585,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,9.6,2.1,3.2,1.1,8.6,15.4,15.7,6.9,9,8.7,4.6,6.1,15.5,7.6,6.5,4.1,15.3,3.5,6.2,1.5,7.8,14.8,10.2,5.8,6,12.5,11.5,5.5,13.1,3,10.8,8.6,9.5,4.3,7.6,10.3,8.7,10.1,13.6,3.9,11.8,11.2,13.9,21.3,8.3,8.4,9.7,11,15.9,11.8,24.1,4.2,19.3,10.1,23.2,14.13,16.99,4.64,14.16,16.11,16.56,15.18,1.82,4.1,7.62,16.68,16.21,8.99,16.6,11.86,17.46,7.92,8.09,10.81,9.12,5.35,7.95,9.16,7.14,17.71,11.1,7.08,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,6.6,5.7,11.9,7.4,10.4,13.9,10,16,2.4,5.3,1.1,3.9,1.6,0.7,3,12,18.6,0.9,6.5,10.8,9,7.2,7.6,3.5,3.5,14.2,7.9,5.9,5.2,4.4,5.7,6,15.4,11.8,7.7,7.2,15.2,15.1,11.6,1.6,13.4,1.6,10.4,0.5,9.6,14.4,1.5,12.3,12.1,6.7,11.8,2.6,0.8,9.3,0.12,9.52,0.68,18.51,5.32,11.1,5.33,15.31,3.75,10.25,3.39,9.34,4.95,12.33,7.46,2.3,9.54,9.6,13.79,11.56,2.18,4.14,7.47,3.24,1.94,10.38,11.36,2.82,12.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,4,4.1,6.9,3.8,9.2,8.2,4.3,8.4,6.9,7.1,2.4,4.6,5.4,6.3,5,2.3,3.6,6.5,8.3,12.2,15.6,2.5,7.1,0.5,6.4,5.8,17.2,7,7.9,6.1,8,7.7,5.2,3.2,3.1,11.4,11.3,9.1,2.1,3.4,4.2,4.2,8.8,13.4,15.9,7,5.3,2.1,3,6,9.5,11.2,1.7,6.2,2.2,6.84,8.07,6.5,2.5,6.28,4.43,6.46,7.9,11.08,3.61,8.44,3.87,1.15,7.33,6.18,9.5,9.18,3.78,7.06,8.5,6.9,1.69,7.74,3.15,4.3,8.6,2.06,8.53,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.8,3.4,3.4,7,2.1,7.1,3.4,2.5,6,6.1,5,5,5.1,2.8,4.6,1.7,1,3.6,5.1,4.2,4.6,7,8.7,6.1,6,4.5,2.5,8.3,8.5,2,5.8,3.7,5.2,6.8,6.3,2.2,9.9,3.5,5.4,7.7,4.4,1.5,4.4,8.6,2.2,4.2,7,5.1,11,6.5,5.5,4.6,3.2,3.8,4.6,9.38,2.97,6.58,7.79,1.88,5.87,1.1,4.11,3.93,3.92,6.97,5.89,5.73,4.47,2.63,13.54,4.62,11.34,8.03,7.22,5.73,6.67,2.41,4.28,1.97,2.41,3.09,8.21,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,6.8,7.8,2,3.4,8.7,5.9,5.1,7.6,5,7.6,3.6,5.4,4.8,4.9,3.8,7.8,4.1,6.6,0.6,0.4,5,4.9,7,6,3,4.4,4.7,5,2.7,8.7,8,5.2,3.4,4.7,4.1,4,4,4.4,1.5,4.9,4.9,2.9,3.6,11,5.2,5.1,6.3,7.4,10.4,4.8,4.8,1.8,6.7,4.3,6.5,5.53,4.22,7.03,1.04,1.48,3.16,7.98,1.46,2.16,5.85,9.37,8.94,4.3,6.85,1.98,5.01,3.77,4.75,4.13,4.34,4.63,4.81,7.58,8.8,4.8,4.94,8.44,2.01,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,6.7,4.5,9.2,6.7,9.6,8.9,6,0.8,2.5,2.9,0.6,2.1,0.8,7.5,3,5.1,5,3.4,2.1,5.8,5.4,5.8,2.3,6.2,4.8,1.9,3,3.4,3.5,2.3,10,3.5,4.6,2.5,6.1,7.8,7.3,2.8,2.1,5.2,4.2,2.9,3.9,3.7,0.6,4.7,2.7,4.6,0.4,6.1,6.1,12.7,3.5,3.4,9.9,4.58,3.28,3.34,8.87,6.44,4.46,14.44,7.08,0.9,0.54,1.25,6.86,7.44,7.85,9.39,6.32,13.2,1.81,4.25,2.09,4.59,6.15,8.58,6.43,4.44,3.1,5.86,5.94,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,10.8,1.3,9.4,9.6,7.7,14.8,5.5,8,4.7,8.8,6.9,9.9,4.5,7.7,6.1,6.5,7.8,6.3,7.5,6.7,3.3,2,5.1,3.9,1.6,4.7,6,5,2.9,5.1,3.1,6.2,9.5,8,2.5,7.5,1,6.2,7.2,5.4,2.5,6.9,2.3,10.2,5.2,10.5,5.8,9.3,2.5,7.6,9.3,5.7,9.3,6.7,9.2,9.77,8.48,2.54,4,9.8,5.25,13.76,13.44,8.72,2.45,7.12,6.4,4.51,6.85,6.92,5.53,6.84,2.68,7.25,5.35,5.89,12.52,8.2,4.71,8.48,6.66,5.74,10.13,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,9.8,6.9,9.7,2.7,8.8,6.4,9.2,2.1,5.6,4.7,4.3,7.4,8.4,8.5,19.5,12.2,10,8.2,9.9,4.5,15.7,10.2,1.6,9.2,8.1,4.3,11.5,10.3,6,8,7.4,10.2,4.5,13.8,5.9,8.4,7.2,5.7,3.9,4.6,16.2,7.7,7.2,6.8,11.1,7,17.9,7.3,9,9,11.2,17,12.6,14.3,6.2,1.63,5.97,9.89,4.48,5.44,5.13,6.35,4.14,4.01,13.65,12.08,15.36,8.06,2.55,11.26,0.05,11.39,5.53,14.68,11.78,11.31,10.4,8.18,4.55,13.95,10.55,7.37,1.98,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,5.6,10.1,10.4,8.4,4,5.3,9.7,8.6,12.8,14.6,8.6,2.1,4,9,14,15.4,7.8,0.4,3.7,11.8,9.3,4.5,9.7,6.9,6.8,4.9,8.5,4.8,6,3.3,0.9,9.2,4.5,0.9,4.5,4.2,3.8,4.5,1.5,3.9,8.5,17.3,9.1,4.3,3.1,6.1,12.7,14.7,7.3,8.2,12.6,6.4,3.5,6.5,3.6,9.88,1.92,13.97,16.26,10.97,8.96,6.49,2.47,8.48,2.49,12.35,11.82,9.9,10.39,16.49,9.6,11.89,3.35,22.82,14.87,9.46,16.16,18.77,7.47,7.29,10.88,11.47,1.45,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,16.7,12.1,4.1,3.6,4.8,6.9,11,5.7,10.6,8.9,5.7,11.3,13.4,5.5,13.4,9.1,11.4,11.9,7.6,11.5,7.8,8.4,9.4,12.2,8.2,9.3,22,4.2,7,12.4,11.6,4.5,16.7,5.5,10.5,9.8,7.5,2,2.1,21.9,16.5,15.9,3,4.1,4.5,3,21.7,9.6,16.3,8.8,12.8,20.9,14.4,20,7.4,15.64,8.4,16.96,17.04,12.14,5.88,24.71,5.38,10.63,10.19,13.2,15.41,10.2,13.84,1.07,3.53,9.26,13.98,8.2,1.72,10.2,5.65,22.89,7.54,7.94,12.66,10.52,13.59,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,22,3.4,1.9,14.3,16,13.2,14.8,4.9,6.1,9.9,5.7,16,4.7,16.4,10.6,10,6,13.6,12.7,3.5,11.6,12,14.3,8.8,11.5,6.5,6,7,10.3,10,7.1,7.6,5.4,7,13.3,6.8,8.1,13.1,4.5,14.5,10.4,9.4,7.6,9.1,4.3,5.2,12.1,7.8,3.2,16.2,11.6,20.2,24.1,12.2,21.8,7.7,4.11,3.07,10.26,11.71,2.97,19.09,19.5,11.86,8.35,3.14,7.47,17.07,0.87,20.01,18.74,9.41,18.13,10.12,22.06,5.29,17.82,22.97,4.88,4.03,4.44,2.58,14.63,20.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,10.2,4.3,7.4,7,10.1,7.8,7.6,13.8,4.3,11.6,7.7,13.5,9.5,0.6,19.8,3.2,13.2,11.1,9.2,11,17.8,18.8,5.9,20.7,9.4,10.6,7.8,10,6,5.7,14,7.8,11.5,10.9,19.1,18,9,17,15,8.6,4.4,14.7,16.4,10.4,19.7,15,9.4,21.6,10.2,2.1,4.9,9.7,24,11.9,8,19.42,1.46,17.99,7.04,17.75,7.1,9.03,6.31,11.05,8.06,18.85,5.78,11.99,8.14,12.87,5.45,14.56,19.12,5.05,20.02,8.52,6.8,15.03,14.2,15.91,12.56,10.05,20.61,11.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
