HEREFORD St John's Street,,,,,,,,,,,,,,,,,,,,
Grid ref,SO5109139864,Long,-2.7147,Lat,52.055,Elevation,182,ft,,,,,,,,,,,,
Station no,RR7782,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.51,3,1.7,2.05,1.83,2.21,,,,,
February,,,,,,,,,,2.39,0.78,0.11,2.06,2.78,2.31,,,,,
March,,,,,,,,,,3.08,0.86,1.77,0.48,0.24,1.44,,,,,
April,,,,,,,,,,5.18,0.61,0.95,0.91,0.15,1.52,,,,,
May,,,,,,,,,0.88,3.42,1.86,3.39,1.75,2.03,2.78,,,,,
June,,,,,,,,,3.17,0.41,1.46,1.93,2.73,0.93,1.77,,,,,
July,,,,,,,,,4.89,3.73,1.57,1.29,3.11,2.39,2.4,,,,,
August,,,,,,,,,1.46,2.12,2.44,2.85,2.84,1.42,2.35,,,,,
September,,,,,,,,,0.56,1.31,0.96,1.06,2.04,1.08,2.74,,,,,
October,,,,,,,,,0.6,2.19,1.46,7.1,1.7,1.43,3.15,,,,,
November,,,,,,,,,7.32,0.8,1.98,2.54,2.19,1.17,3.69,,,,,
December,,,,,,,,,2.73,1.16,0.82,3.4,0.67,4.21,1.66,,,,,
Total,,,,,,,,,,26.3,17.8,28.09,22.53,19.66,28.02,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer lived at No 3,,,,,,,,,,,,,,,,,,,,
