"LEIGH RESERVOIR",,,,,,,,,,,,
Grid ref,TQ826866,Long,0.632189,Lat,51.548741,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.69,,
February,,,,,,,,,,0.85,,
March,,,,,,,,,,2.52,,
April,,,,,,,,,,1.35,,
May,,,,,,,,,,1.00,,
June,,,,,,,,,,3.54,,
July,,,,,,,,,,3.32,,
August,,,,,,,,,,2.68,,
September,,,,,,,,,,2.23,,
October,,,,,,,,,,5.01,,
November,,,,,,,,,,1.51,,
December,,,,,,,,,,2.84,,
Total,,,,,,,,,,27.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
