HAYFIELD-KINDER-FILTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK054880,Long,-1.9202711,Lat,53.388813,Elevation,800,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.46,3.78,3.71,5.78,5.03,7.22,,3.42,4.1,5.39,7.67,4.93,5.75,3.3,10.63,3.54,3.81,4.91,5,2.59,4.89,4.07,7.29,2.63,4.67,4.2,6.07
February,,,,0.36,6.47,4.05,7.22,1.76,3.54,2.52,5.66,2.49,3.63,3.34,4.42,7.61,2.01,2.99,2.53,6.26,5.05,2.32,3.25,4.07,2.94,2.42,3.79,7.61,0.52,3.39
March,,,,3.86,1.99,2.95,4.04,2.26,2.89,2.94,5.28,2.76,1.62,1.21,1.91,1.94,6.08,1.4,2.62,2.07,6.33,2.42,3.42,2.99,3.53,1.97,3.18,2.38,2.1,1.62
April,,,,2.53,3.68,1.78,4.62,0.71,3.73,3.6,3.41,1.88,2.54,3.02,2.62,1.87,3.74,2.17,4.38,4.07,3.07,3.84,3.36,0.84,2.01,2.24,0.58,1.12,3.16,2.24
May,,,,2.83,0.84,1.57,2.62,4.1,2.73,1.18,2.83,4.4,3.2,7.57,3.81,1.86,3.34,1.54,2.63,1.36,2.49,3.26,2.53,3.93,5.11,1.55,1.47,4.34,0.85,2.01
June,,,,2.27,3.88,3.88,2.11,4.41,2.66,1.1,2.89,1.39,3.91,3.7,3.92,3.96,2.36,6.49,1.43,2.9,1.72,2.97,3.83,3.3,3.01,3.1,1.64,5.72,2.24,1.42
July,,,,4.72,2.24,5.89,4.65,5.68,6.79,4.49,3.69,5.77,2.16,4.31,1.88,5.4,3.5,2.79,1.77,3.48,3.58,3.62,5.88,7.86,0.81,6.54,6.24,5.92,4.25,7.07
August,,,,2.94,1.59,2.56,1.07,3.12,2.02,2.57,6.69,4.17,6.3,3.65,3.48,5.38,0.55,5.54,3.95,4.31,5.87,2.14,4.34,6.83,0.53,9.87,7.33,3.84,0.49,6.57
September,,,,3.19,6.41,6.93,1.35,3.2,1.36,4.3,0.77,3.28,5.89,5.6,2.8,5.31,2.08,2.71,1.83,6.28,2.09,5.03,2.73,4.76,2.49,4.26,8.66,5.22,0.2,4.75
October,,,,6.92,8.3,5.56,2.38,7.17,4.08,4.12,5.65,8.19,3.1,4.69,6.89,1.28,0.99,3.13,4.07,2.36,1.16,5.91,2.29,6.54,2.64,2.95,3.92,4.6,3.51,4.99
November,,,,2.62,6.08,5.8,1.83,5.33,7.14,8.68,3.28,1.57,4.39,7.39,0.74,6.65,5.7,2.86,5.89,6.5,9.04,3.61,3,6.67,2.28,2.14,2.93,2.1,5.53,5.71
December,,,0.69,5.21,4.93,5.06,4.55,5.56,2.85,5.78,3.26,4.09,2.17,3.7,3,5.16,5.62,3.44,6.62,4.2,6.05,4.22,1.91,6.84,5.41,7.07,6.3,4.4,6.44,4.47
Total,,,,40.91,50.19,49.74,42.22,48.33,47.01,,46.83,44.09,44.3,55.85,40.4,52.17,39.27,45.69,41.26,47.6,51.36,44.34,39.13,59.52,34.83,51.4,48.67,51.92,33.49,50.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11878 KINDER FILTERS Start 1933 still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near the filters to Kinder Reservoir. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
