HASTINGS-THE-HOLLIES,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ818103,Long,0.58203199,Lat,50.863624,Elevation,100,ft,,,,,,,,,,,,
Station no,RR4893,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,2.42,3.87,3.32,2.14,3.98,1.36,7.2,2.08,3.81,0.44,1.04,1.57,2.52,3.86,2.64,5.09,2.57,1.65,
February,,1.88,1.47,2.37,0.86,1.05,3.05,3.04,1.92,3.66,2.96,2.19,1.46,3.7,2.01,3.69,0.58,0.62,2.24,
March,,1.36,2.23,2.69,0.67,0.88,3.03,2.83,2.87,1.03,0.76,3.57,1.77,1.47,1.87,1.84,1.7,1.29,4.99,
April,,3.93,0.81,1.77,2.4,1.44,2.02,2.86,4.24,3.42,2.55,0.92,2.85,1.92,2.22,2.55,1.63,1.59,1.19,
May,,1.16,2.57,0.97,0.78,0.96,1.59,2.46,4.22,3.41,0.06,1.2,1.76,2.58,0.39,2.34,3.24,1.7,0.95,
June,,2.27,2.07,2.31,1.41,1.93,1.45,2.62,1.22,4.22,3.43,3.13,2.61,1.21,2.52,1.21,0.95,0.65,2.72,
July,,2.86,1.9,1.5,0.54,2.4,0.44,2.54,0.94,3.3,4.12,1.99,3.08,2.06,1.87,0.64,2.45,0.33,4.35,
August,,1.29,1.98,2.21,1.53,2.58,3.46,2.48,9.51,3.9,0.99,4.28,2.88,0.87,1.45,1.14,1.51,2.18,1.69,
September,,3.18,2.74,2.25,3.62,3.45,3.85,1.27,2.25,3.15,3.61,3.3,3.9,3.94,4.03,4.89,1.42,2.8,1.49,
October,,1.31,5.75,3.74,3.78,4.65,1.86,3.86,3.42,1.37,8.74,4.14,8.57,3.83,2.62,4.85,3.65,1.78,3.17,
November,,0.28,7.23,2.77,1.89,6.41,3.48,7.65,5.16,1.3,5.26,3.56,4.32,5.13,1.29,3.61,4.82,5.68,3.54,
December,,1.57,6.74,0.59,2.26,1.8,6.84,2.79,2.6,1.2,5.38,5.07,3.09,1.94,5.02,1.16,5.71,2.31,2.16,
Total,,23.51,39.36,26.49,21.88,31.53,32.43,41.6,40.43,33.77,38.3,34.39,37.86,31.17,29.15,30.56,32.75,23.5,30.14,
