"WARE (GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,TL358139,Long,-0.031684,Lat,51.807252,,,,,,,
Station no,956,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.98,2.36,1.14,0.98,2.37,3.19,0.87,2.24,,2.26,,
February,4.98,1.07,2.02,2.21,1.54,0.50,2.69,3.09,,1.65,,
March,3.46,3.06,0.61,2.26,1.14,0.75,1.29,1.04,,0.99,,
April,3.09,1.89,2.80,0.24,0.29,1.06,0.90,1.18,,0.36,,
May,2.80,1.12,1.51,1.96,4.42,0.41,0.65,2.17,,1.17,,
June,1.23,1.90,1.69,3.20,2.26,3.00,1.88,5.67,,1.44,,
July,0.89,0.61,3.08,2.07,0.15,3.30,3.51,3.06,,2.75,,
August,4.64,5.15,1.63,2.85,1.13,4.75,1.48,2.97,,2.39,,
September,3.31,2.66,1.92,1.47,1.59,1.49,,3.55,,4.45,,
October,0.88,2.50,3.11,1.95,3.71,2.16,1.82,2.31,,5.65,,
November,4.64,4.05,1.20,4.01,0.81,0.59,,1.83,,3.11,,
December,2.07,2.84,0.61,1.40,2.88,3.02,,2.63,,2.73,,
Total,34.97,29.21,21.32,24.60,22.29,24.22,,31.74,20.75,28.95,,
Calc annual,34.97,29.21,21.32,24.60,22.29,24.22,15.09,31.74,0.00,28.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,20.75,0.00,,
