"WARE GRAMMAR SCHOOL FOR GIRLS",,,,,,,,,,,,
Grid ref,TL3585213964,Long,-0.030906,Lat,51.807814,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.13,0.89,0.75,,
February,,,,,,,,1.42,1.14,0.58,,
March,,,,,,,,0.95,2.51,2.77,,
April,,,,,,,,2.72,2.49,1.67,,
May,,,,,,,,1.90,1.89,1.07,,
June,,,,,,,,2.12,1.34,3.73,,
July,,,,,,,,1.33,2.93,2.62,,
August,,,,,,,,1.73,2.41,1.88,,
September,,,,,,,,0.60,1.23,1.94,,
October,,,,,,,,2.76,1.33,3.46,,
November,,,,,,,,2.26,0.87,0.72,,
December,,,,,,,,2.81,2.05,2.69,,
Total,,,,,,,,21.73,21.08,23.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.73,21.08,23.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
