NEW-LUCE PUBLIC SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX175644,Long,-4.8506165,Lat,54.940784,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,6.83,4.34,7.62,3.81,9.66,3.08,6.43,6.42,3.19,2.96,3.98,3.65,5.51,5.66,6.21,7.5,4.09,0.72,6.2,6.35,,,,,,,
February,,,,,1.51,5.78,6.16,2.03,3.55,2.92,0.4,3.8,0.04,3.85,0.72,3.9,2.63,7.85,2.94,4.44,2.73,4.56,2.84,3.01,,,,,,,
March,,,,,1.72,1.86,2.2,4.63,5.72,1.54,2.47,1.4,3.67,3.13,3.16,1.83,2.62,1.96,1.32,4.94,6.85,2.9,4.08,1.01,,,,,,,
April,,,,,2.91,4.07,1.94,1.99,2.05,1.35,2.42,2.56,5.23,2.11,2.41,4.23,1.2,2.88,0.69,2.09,2.72,1.85,3.31,3.02,,,,,,,
May,,,,,3.85,4.8,4.41,,1.58,4.46,1.61,2.88,3.04,2.79,4.66,1.11,4.14,2.24,3.56,1.29,1.55,3.85,3.8,3.95,,,,,,,
June,,,,,3.44,0.53,2.51,,5.52,2.4,2.42,4.68,1.72,3.22,2.16,3.74,3.94,3.33,4.87,2.58,1.37,1.25,0.59,3.48,,,,,,,
July,,,,,4.45,2.79,4.66,,4.52,3.54,2.19,3.65,4.01,3.12,2.57,2.45,6.81,4.67,5.97,3.98,4.05,3.36,4.14,,,,,,,,
August,,,,,5.77,3.25,5.18,,6.76,6.04,,2.52,2.74,3.43,4.26,1.95,4.29,2.89,2.72,1.61,2.1,5.69,5.52,,,,,,,,
September,,,,,6.76,4.53,6.75,,2.38,1.46,4.04,2.55,5.23,0.5,5.36,5.12,5.38,3.23,4.48,3.47,5.05,3.57,6.32,,,,,,,,
October,,,,,3.03,4.98,6.1,3.62,7.8,6.27,7.49,3.37,7.04,4.16,8.05,8.18,4.96,2.98,9.15,4.14,5.21,6.48,6.26,,,,,,,,
November,,,,,4.32,2.93,6.03,5.71,8.36,7.64,5.58,9.32,4.36,3.22,2.19,6.81,5.3,1.48,6.76,7.73,7.44,4.26,0.93,,,,,,,,
December,,,,,5.85,4.84,2.43,1.99,6.24,9.5,5.22,4.72,5.68,2.79,10.27,5.94,5.36,4.09,4.73,4.65,5.85,4.13,9.03,,,,,,,,
Total,,,,,50.44,44.7,55.99,,64.14,50.2,,47.87,45.95,35.28,49.79,48.91,52.14,43.26,53.4,48.42,49.01,42.62,53.02,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927 May 1.97, June 3.3, July 3, Aug 4.5, Sept 6 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Aug 6.75 and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
