"LLANDOVERY, SERVICE RESERVOIR",,,,,,,,,,,,
Grid ref,SN769351,Long,-3.794594,Lat,52.000652,,,,,,,
Station no,4106/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.61,,,4.54,7.10,4.73,4.61,5.41,,
February,,,2.09,,,0.56,4.18,4.64,0.42,3.59,,
March,,,3.31,,,2.26,3.90,0.98,3.71,1.55,,
April,,,3.23,,,1.21,0.46,1.40,3.28,2.55,,
May,,,2.62,,,1.63,2.39,3.95,1.55,1.91,,
June,,,1.35,,,2.44,2.06,2.17,2.44,2.54,,
July,,,4.57,,,2.84,4.43,5.48,4.38,4.05,,
August,,,4.44,,,6.50,4.72,3.06,0.69,5.13,,
September,,,5.49,,,3.60,7.96,8.27,0.90,4.99,,
October,,,3.93,,,2.82,4.56,4.94,3.19,3.66,,
November,,,3.79,,,2.09,1.87,3.30,6.00,7.47,,
December,,,1.50,,,4.18,3.20,3.76,7.12,5.32,,
Total,,,37.93,,,34.67,46.83,46.68,38.29,48.17,,
Calc annual,0.00,0.00,37.93,0.00,0.00,34.67,46.83,46.68,38.29,48.17,,
Difference,NaN,NaN,0.00,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
