"BIRKENHEAD (BIDSTON OBSY)",,,,,,,,,,,,
Grid ref,SJ287897,Long,-3.073799,Lat,53.399290,,,,,,,
Station no,2790/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.80,2.64,0.81,2.48,1.65,2.94,1.09,2.45,3.14,4.36,,
February,2.20,0.97,0.98,2.46,1.84,0.19,1.74,3.99,0.19,1.39,,
March,4.28,1.63,0.89,2.00,1.78,1.25,1.74,1.34,1.15,1.43,,
April,1.00,1.54,1.82,0.65,1.52,2.76,0.35,0.49,2.41,1.14,,
May,2.85,1.84,2.02,2.46,2.58,0.74,1.39,2.30,1.97,2.45,,
June,0.61,1.80,1.56,3.32,3.09,1.56,1.11,4.69,2.93,0.83,,
July,1.16,1.13,2.42,2.61,0.57,4.71,4.47,3.35,3.16,3.10,,
August,5.04,2.21,2.99,5.32,1.53,8.71,2.99,4.47,2.22,3.61,,
September,2.29,3.70,3.01,2.22,1.82,2.94,5.60,4.93,0.28,3.25,,
October,0.75,3.20,1.18,4.38,2.01,1.76,2.63,2.93,2.80,3.34,,
November,6.34,2.44,2.89,5.11,1.29,1.39,1.22,1.71,3.96,5.74,,
December,3.47,2.84,1.26,2.74,3.00,1.89,2.29,3.62,4.25,2.36,,
Total,31.79,25.94,21.83,35.75,22.68,30.84,26.62,36.27,28.46,33.00,,
Calc annual,31.79,25.94,21.83,35.75,22.68,30.84,26.62,36.27,28.46,33.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
