BIDSTONE OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ287898,Long,-3.073822,Lat,53.400189,Elevation,52,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2790/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.42,1.76,1.41,2.44,1.36,3.02,2.8,2.26,1.71,0.49,2.5,1.82,0.84,0.51,1.7,0.27,1.68,3.34,1.26,1.79,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.62,1.78,3.86,0.87,1.11,1.6,2.7,0.6,1.54,1.1,1.39,0.67,0.08,1.39,0.5,1.88,0.26,0.32,1.78,1.73,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,0.98,1.27,2.59,0.56,0.64,2.91,0.43,0.82,0.65,1.86,0.64,2.01,1.57,2.31,1.86,3.08,2.63,0.6,2.32,1.25,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,4.43,1.78,1.73,2.06,1.98,0.9,0.21,1.24,0.95,0.41,2.05,2.19,2.18,2.78,0.77,1.4,1.61,1.32,1.19,1.07,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.98,2.35,1.66,2.15,1.49,2.11,1.43,1.38,0.94,1.36,1.52,2.21,1.73,0.63,1.88,0.92,4.68,1.53,2.42,3.12,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.2,2.54,3.58,1.19,0.74,3.19,2.62,3.1,2.12,3.03,2.02,3.56,2.08,2.07,3.13,2.17,1.1,3.7,2.78,0.69,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.47,1.67,2.49,4.32,3.07,1.41,3.11,4.15,2.76,5.24,3.58,2.34,1.6,1.37,1.54,2.95,3.01,1.53,1.53,2.55,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,4.45,3,4.09,2.9,3.14,2.74,4.52,2.44,2.42,2.66,2.03,3.07,1.62,3.92,6.03,1.96,2.16,3.18,1.77,3.32,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.65,4.57,2.31,3.57,1.56,1.54,2.65,1.57,1.8,0.67,3.52,2.89,3.06,3.28,1.77,2.76,3.07,5.01,2.49,0.46,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.1,3.9,3.4,3.56,2.67,3.58,3.67,2.94,2.3,3.92,1.51,1.93,2.71,2.79,2.44,1.53,3.66,5.06,1.86,2.55,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
