"GLAMIS CASTLE",,,,,,,,,,,,
Grid ref,NO388486,Long,-2.999038,Lat,56.625234,,,,,,,
Station no,5575/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.09,,0.44,1.82,,-999.00,3.66,3.45,1.42,6.55,,
February,3.55,-999.00,0.94,4.27,,-999.00,4.06,3.37,0.42,3.97,,
March,1.82,-999.00,0.49,3.99,,-999.00,2.65,4.94,2.40,2.54,,
April,2.06,-999.00,2.73,0.94,,-999.00,0.75,1.63,2.93,3.57,,
May,1.62,-999.00,1.52,5.18,,0.84,2.03,3.01,0.96,1.95,,
June,2.61,-999.00,1.60,-999.00,,3.22,1.12,3.17,2.30,2.47,,
July,4.42,-999.00,3.28,3.38,,4.62,4.28,4.54,3.28,3.29,,
August,3.25,-999.00,1.84,-999.00,,5.89,3.59,3.79,1.12,5.46,,
September,1.79,-999.00,2.99,3.07,,5.18,1.74,2.85,0.67,2.83,,
October,0.68,-999.00,1.43,6.09,,1.86,1.52,1.88,2.64,7.24,,
November,9.27,-999.00,3.22,-999.00,,0.91,1.71,0.96,6.56,4.75,,
December,3.31,-999.00,3.60,4.06,,5.76,5.69,5.57,7.29,2.41,,
Total,37.47,-999.00,24.08,-999.00,,,32.80,39.16,31.99,47.03,,
Calc annual,37.47,0.00,24.08,32.80,0.00,28.28,32.80,39.16,31.99,47.03,,
Difference,0.00,-999.00,0.00,-1031.80,NaN,NaN,0.00,-0.00,0.00,0.00,,
