GLAMIS CASTLE,,,,,,,,,,,,
Grid ref,NO388486,Long,-2.999038,Lat,56.625234,Elevation,200,ft,,,,
Station no,5575/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.66,3.45,1.42,6.55,,
February,,,,,,,4.06,3.37,0.42,3.97,,
March,,,,,,,2.65,4.94,2.4,2.54,,
April,,,,,,,0.75,1.63,2.93,3.57,,
May,,,,,,0.84,2.03,3.01,0.96,1.95,,
June,,,,,,3.22,1.12,3.17,2.3,2.47,,
July,,,,,,4.62,4.28,4.54,3.28,3.29,,
August,,,,,,5.89,3.59,3.79,1.12,5.46,,
September,,,,,,5.18,1.74,2.85,0.67,2.83,,
October,,,,,,1.86,1.52,1.88,2.64,7.24,,
November,,,,,,0.91,1.71,0.96,6.56,4.75,,
December,,,,,,5.76,5.69,5.57,7.29,2.41,,
Total,,,,,,,32.8,39.16,31.99,47.03,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
