GLAMIS CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO388480,Long,-2.998895,Lat,56.619845,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.89,4.52,3.83,1.65,1.06,3.6,2.64,0.71,3.08,1.76,1.76,2.03,2.74,1.04,4.97,4.78,1.66,2.59,2.06,1.77,1.56,3,3.31,3.42,5.48,2.5,2.87,2.74,6.55,3.01,7,1.51,2.98,4.14,2.63,2.87,2.01,1.17,6.05,7.51,4.71,3.64,2.14,2.54,3.99,5.12,1.9,4.4,2.68,4.34,5.36,1.72,1.52,3.09,1.82,0.65,2,1.59,4.32,,,,
February,,,,,,,,,1.18,2.97,3.42,1.81,1.17,3.7,4.13,0.94,1.26,1.78,1.02,0.54,3.08,1.2,2.34,1.29,3.51,6.07,2.71,0.8,2.55,2.21,1.9,0.51,2.56,8.44,1.27,4.97,4.81,1.76,1.9,2.01,1.35,1.63,0.08,3.44,0.24,2.39,4.66,3.78,0.76,3.13,1.75,4.51,1.57,1.65,0.87,2.29,1.27,4.42,2.82,1.85,2.95,3.55,0.8,0.75,3.6,2.17,1.77,,,,
March,,,,,,,,,0.52,2.05,1.38,1.84,1.06,4.72,1.84,3.85,1.16,1.55,4.14,3.65,1.94,1.37,1.8,4,3.56,1.08,2.66,1.64,0.96,2.16,2.44,2.34,2.36,1.99,0.8,1.24,1.11,3.26,5.86,0.44,1.38,1.35,2.76,1.87,3.33,1.7,2.04,3.35,0.39,2.1,3.6,1.54,2.69,0.63,0.4,1.01,1.99,3.75,1.04,1.34,2.26,1.82,2.88,0.44,3.84,2.74,2.42,,,,
April,,,,,,,,,4.52,3.47,1.49,2.83,2.49,1.39,2.36,2.34,1.22,2.53,0.81,3.73,2.54,0.91,0.17,2.29,0.69,0.64,1.59,1.19,0.44,2.12,1.78,1.54,1.54,3.14,1.65,3.82,2.78,1.5,1.05,0.79,2.05,2.15,2.53,1.36,4.26,4.34,0.42,1.84,0.19,1.52,2.1,1.82,2.1,1.61,2.74,1.17,0.25,2.91,1.17,1.79,1.67,2.06,1.21,3.55,0.98,0.84,1.14,,,,
May,,,,,,,,,2.08,3.86,3.15,2.25,1.93,1.48,2.65,2.21,5.01,4.22,1.74,3.26,1.23,1.51,1.47,4.52,1.34,0.97,3.07,2.24,3.68,1.17,2.83,2.76,1.09,2.31,4.83,4.18,2.33,2.72,1.46,2.17,1.26,4.35,3.27,1.99,2.36,0.78,1.12,2.33,4.06,1.94,1.16,2.44,4.29,3.16,2.63,4.84,2.25,4.27,3.41,2.14,1.14,1.62,3.92,1.55,5.23,2.04,0.83,,,,
June,,,,,,,,,2.09,1.21,2.36,1.8,1.39,1.99,0.71,1.15,0.99,4.18,1.5,1.01,1.57,0.57,2.13,1.66,0.4,0.97,2.93,1.17,0.77,1.36,0.93,0.46,1.36,0.94,2.15,0.61,3.54,2.68,3.61,1.58,1.7,5.07,0.97,1.33,0.85,3.27,1.49,1.78,3.6,1.38,0.38,1.48,0.85,2.43,2.32,2.74,3.56,2.86,4,0.87,1.18,2.61,2.33,1.23,2.22,1.82,3.53,,,,
July,,,,,,,,,0.82,2.01,3.47,1.88,2.49,5.79,1.3,1.2,1.43,2.69,1.84,2.43,4.5,1.44,3.07,0.22,2.18,3.46,6.97,1.88,4.07,0.37,2.26,2.27,3.17,1.36,5.01,1.67,2.95,2.74,0.76,2.36,2.36,3.43,2.92,3.28,3.33,1.4,4.3,4.31,3.85,3.34,4.79,3.59,4.09,2.13,3.04,3.25,4.32,2.29,3.74,2.31,4.73,4.42,2.23,3.23,2.79,0.95,5.44,,,,
August,,,,,,,,,2.4,0.61,3.33,3.73,3.84,4.44,4.24,3.79,5.67,3.52,1.59,1.71,6.55,1.67,2.91,1.28,2.39,3.34,4.6,7.91,2.3,2.65,3.31,3.85,1.73,5.02,3.38,2.42,1.78,4.26,4.84,3.49,7.05,4.18,0.89,0.76,6.22,1.2,1.41,3.74,2.03,3.14,1.09,3.44,3.83,4.74,1.58,2.85,5.04,0,7.99,1.8,3.97,3.25,2.83,2.23,2.46,1.07,6.51,,,,
September,,,,,,,,,2.02,3.18,1.99,2.04,1.58,3.35,2.8,1.54,1.14,1.04,5.48,1.36,0.81,0.79,1.18,2.25,0.49,1.08,1.57,1.44,2.98,1.09,2.08,1.35,2.63,3.75,4.45,2.5,4.41,4.41,2.69,0.37,4.93,1.16,2.32,1.84,5.5,4.45,3.03,1.78,2.78,1.82,1.9,1.07,2.91,3.32,3.07,3.94,4.53,3.79,3.09,1.93,5.28,1.79,0.74,2.31,3.01,1.39,5.93,,,,
October,,,,,,,,,4.07,2.1,2.95,2.73,1.64,5.93,0.84,1.87,4.78,4.79,3.07,3.72,1.82,1.96,3.74,1.65,2.5,4.21,4.9,2.65,2.76,0.95,3.55,2.54,1.47,3.41,5.12,2.8,5.93,6.12,6.21,3.28,3.35,1.07,6.7,3.22,4.36,5.36,1.67,3.97,4.3,6.29,4.29,3.92,2.38,4.09,3.42,4.2,0.54,1.33,3.9,3.24,1.32,0.68,3.98,1.83,5.7,2.44,2.12,,,,
