RUTHIN-TYMAWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ148560,Long,-3.2737708,Lat,53.09438,Elevation,400,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,2.68,2.36,2.44,0.85,2.3,2.58,1.79,4.19,1.56,1.77,1.8,3.23,3.77,4.42,,2.11,,,,,,,
February,,,,,,,,,2.19,1.48,3.37,2.07,1.84,1.19,3.03,3.96,3.79,0.88,2.78,2.68,2.41,0.47,,4.29,,,,,,,
March,,,,,,,,,4.21,2.15,0.96,1.18,2.93,4.47,2.63,0.79,2.76,2.07,0.79,6.32,4.65,1.91,,1.37,,,,,,,
April,,,,,,,,,1.63,3.02,2.8,0.76,0.38,4.07,0.75,1.66,1.85,1.93,1.9,2.55,4.21,1.13,,1.3,,,,,,,
May,,,,,,,,,2.31,0.53,2.41,0.74,1.74,3.03,2.14,1.64,3.04,2.61,2.41,1.31,2.27,1.33,,4.35,,,,,,,
June,,,,,,,,,2.17,3.64,3.39,3.27,3.76,1.51,2.8,0.73,1.4,2.36,1.7,2.37,3.17,0.37,,0.76,,,,,,,
July,,,,,,,,,3.48,2.42,3.12,1.1,2.22,1.54,5.18,3.17,2.31,1.58,4.06,2.2,4.48,1.71,,1.38,,,,,,,
August,,,,,,,,,3.04,2.95,2.82,3.46,4.7,2.15,1.66,4.37,1.6,5.6,1.97,3.17,2.17,3.31,,3.62,,,,,,,
September,,,,,,,,,3.59,4.12,0.51,3.75,0.97,1.35,2.02,0.93,4.25,1.03,5.5,2.7,2.44,0.78,,2.94,,,,,,,
October,,,,,,,,,1.26,4.1,3.43,1.79,2.98,3.49,1.68,2.36,5.16,5.08,2.43,3.68,2.12,2.59,,5.16,,,,,,,
November,,,,,,,,,2.33,1.48,5.48,3.63,3.11,2.95,2.88,3.82,2.74,3.01,1.87,2.61,1.27,2.43,,3.73,,,,,,,
December,,,,,,,,,1.96,4.24,6.04,4.03,2.62,2.71,7.8,4.97,1.88,1.51,4.25,4.55,2.38,3.31,,3.57,,,,,,,
Total,,,,,,,,,30.85,32.49,36.77,26.63,29.55,31.04,34.36,32.59,32.34,29.43,31.46,37.37,35.34,23.76,,34.58,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Ty Mawr near Ruthin. Stated altitude is about 40 ft. too high or gauge Is up to 300m E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
