"LURGAN, BELLE VUE - new gauge",,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ0924259205,Long,-6.315594,Lat,54.469696,Elevation,200,ft,,,,,,,,,,,,,
Station no,6192,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.56,3.53,2.14,2.31,1.78,2.4,,,,,,
February,,,,,,,,,,2.19,1.09,2.13,0.12,2.89,0.16,,,,,,
March,,,,,,,,,,0.25,1.82,1.06,1.59,2.08,1.43,,,,,,
April,,,,,,,,,,0.9,1.51,2.25,2.24,0.81,1.67,,,,,,
May,,,,,,,,,,2.32,1.75,3.05,2.15,2.05,1.9,,,,,,
June,,,,,,,,,,2.48,1.86,3.91,1.32,1.74,1.31,,,,,,
July,,,,,,,,,,3.02,3.06,2.51,3.92,2.27,1.51,,,,,,
August,,,,,,,,,,4.68,5.73,2.84,2.6,1.79,5.01,,,,,,
September,,,,,,,,,,1.02,3.41,1.63,2.71,0.93,4.26,,,,,,
October,,,,,,,,,,3.33,4.1,1.59,2.39,1.85,3.37,,,,,,
November,,,,,,,,,,3.04,2.89,4.76,1.26,1.1,0.67,,,,,,
December,,,,,,,,,,5.16,2.72,2.39,4.02,1.59,4.37,,,,,,
Total,,,,,,,,,,29.95,33.47,30.26,26.63,20.88,28.06,,,,,,
