"LURGAN BELLE VUE",,,,,,,,,,,,
Grid ref,IJ0924259205,Long,-6.315594,Lat,54.469696,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.26,2.45,1.67,4.29,2.54,1.37,2.14,1.13,2.10,1.94,,
February,2.42,1.15,1.99,1.74,3.07,1.15,1.74,1.59,1.63,1.99,,
March,0.67,1.95,1.29,3.52,1.58,2.96,1.73,2.95,3.12,3.06,,
April,2.05,2.11,2.18,0.70,1.46,1.57,1.52,2.64,2.91,3.00,,
May,2.60,1.34,3.29,2.18,2.44,1.39,4.29,3.45,1.62,1.46,,
June,2.82,2.29,1.89,1.31,1.37,2.20,0.94,4.91,1.89,1.60,,
July,2.67,1.06,3.85,3.95,2.40,1.70,2.52,3.20,3.69,2.89,,
August,4.46,3.73,2.89,4.23,5.17,5.52,3.91,2.48,1.88,1.97,,
September,1.70,3.08,3.77,3.49,2.96,1.19,0.98,0.96,3.14,1.44,,
October,4.18,3.15,1.19,4.30,0.69,2.00,4.14,3.15,2.43,4.73,,
November,5.03,4.04,3.14,1.72,2.26,2.33,2.15,2.19,2.50,1.14,,
December,2.86,2.32,2.60,2.06,1.85,1.66,2.51,2.35,2.31,2.47,,
Total,33.72,28.67,29.75,33.49,27.79,25.04,28.57,31.00,29.22,27.69,,
Calc annual,33.72,28.67,29.75,33.49,27.79,25.04,28.57,31.00,29.22,27.69,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
