HARTLEPOOL HEUGH LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ532338,Long,-1.1759,Lat,54.6965,Elevation,34,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,1.22,,2.1,,1.68,2.29,0.75,3.48,2.12,1.69,0.66,2.35,1.05,1.58,2.56,1.81,3.04,1.14,0.8,1.26,1.64,1.36,1.51,1.01,1.17,2.84,0.94,1.55,,
February,1.22,,2.41,,0.92,0.94,2.82,2.06,0.79,3.12,1.68,4.36,0.4,1.21,1.35,1.05,1.11,0.51,0.92,1.36,1.02,0.07,1.81,1.46,2.2,0.78,0.31,1.32,,
March,1.44,,3.87,,1.62,0.56,2.58,2.46,1.1,1.36,1.37,3.57,2.15,2.52,1.66,1.51,2.63,1.84,4.03,2.14,1.65,2.3,1.27,0.33,0.71,1.56,2.05,2.14,,
April,0.33,,2.27,,0.87,0.95,2.89,3.54,2.4,2.52,3.2,1.29,5.23,1.16,1.83,1.79,2.22,0.92,1.4,1.68,0.61,1.42,1.08,0.33,0.79,1.25,0.64,1.11,,
May,1.42,,2.22,,2.28,0.98,1.6,2.6,2.87,2.59,1.75,2.08,2.39,1.9,0.65,3.89,2.79,1.77,0.33,1.74,2.51,2.13,1.92,1.45,2.06,0.62,0.95,1.08,,
June,2.5,,3.03,,1.16,1.68,1.86,1.8,3.37,3.14,1.94,1.81,3.54,3.18,0.64,1.96,0.71,0.36,1.57,0.47,2.38,0.32,2.94,0.98,3,2.76,2.34,2.57,,
July,0.6,,3.35,,0.95,3.58,2.84,2.79,0.54,4.63,5.08,3.38,2.91,5.37,2.69,0.62,5.13,1.1,5.32,2.89,2.15,4.07,1.42,2.24,2.14,5.71,2.06,0.68,,
August,2.17,,2.57,,1.49,3.12,2.68,5.3,4.66,4.73,2.55,6.44,2.66,1.82,0.8,2.73,1.81,1.48,2.16,3.37,4.03,3.62,2.7,1.59,2.12,2.52,1.47,2.6,,
September,0.82,,5.64,,2.09,1.75,3.6,3.04,2.45,1.47,4.79,4.1,2.2,4.18,1.44,2.61,1.56,4.64,1.31,0.73,1.29,1.61,1.72,1.36,0.96,0.8,1.86,2.16,,
October,3.51,,4.07,,1.94,2.86,1.69,3.45,1.76,1,5.42,5.04,4.07,2.1,2.07,4.08,2.2,2.79,0.5,3.58,2.54,1.39,4.43,1.06,3.43,4.48,5.07,1.54,,
November,3.94,,4.02,,2.8,6.49,3.12,1.54,7.55,3.08,3.17,2.58,4.15,0.99,1.89,2.43,2.91,2.61,2.28,1.18,3.17,1.52,0.95,1.93,0.64,1.24,1.62,2.2,,
December,4.61,,4.06,,4.68,1.68,6.47,2.57,6.11,2.06,3.96,3.07,4.87,2.31,1.92,1.07,3,3.44,0.56,1.54,1.85,1.79,0.97,1.42,1.36,1.88,3.28,2.11,,
Total,23.78,,39.61,,22.48,26.88,32.9,34.63,35.72,31.39,35.57,40.07,35.62,28.32,19.5,25.55,29.11,22.6,21.18,21.94,24.84,21.6,22.72,15.16,20.58,26.44,22.59,21.06,19,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_09_pt1-page-021.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1880-1889_11_pt3-page-014.csv CORRECTION 1885 March value is 1.51 (JacsHu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ERROR_TYRain_1890-1899_18_pt1-page-038.csv CORRECTION: record notes totals for 1898 and 1899 estimated, these values omitted (JacsHu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
