LEEK WALL GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ978552,Long,-2.034305,Lat,53.094002,Elevation,458,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,0.36,2.7,3.81,3.73,2.03,5.3,3.39,1.84,1.27,3.98,2.27,2.71,2.21,3.35,4.08,1.84,1.94,2.12,4.1,5.05,2.41,1.85,2.77,2.97,1.95,5.57,1.78,2.02,2.3,3.57,1.23,4.25,3.63,1.85,4.78,1.79,2.99,2.19,4.37,4.36,4.17,4.76,3.23,2.95,2.69,3.36,3.28,6.29,2.36,4.47,4.28,3.3,1.99,2.96,2.49,3.8,4.15,4.51,5.53,2.03,1.64,3.57,5.09,4.82,2.72,2.9,2.02,5.74,1.69,1.99,3.17,3.72,1.47,2.13,2.6,5.01,2.17,3.35,2.94,5.3,,,,,,,,,,,,,,,,,,,
February,,6.21,2.93,3.67,2.28,2.31,0.75,0.65,1.58,2.29,0.57,0.15,1.98,3.72,3.72,0.26,2.39,3.2,2.9,1.58,3.8,1.69,1.89,1.83,3.31,1.61,3.53,2.37,3.33,0.93,3.66,2.75,1.22,1.29,2.17,4.17,5.17,1.23,2.66,1.34,3.63,0.23,3.66,6.02,1.27,4.53,2.81,2.24,3.17,0.77,0.5,3.99,0.16,4.87,0.31,3.97,1.93,5.99,1.57,2.15,2.42,3.24,1.91,2.13,1.57,3.32,6.47,0.71,1.78,1,5.01,3.58,1.72,1.8,2.96,1.86,0.89,2.73,5.16,0.7,2.42,,,,,,,,,,,,,,,,,,,
March,,3.35,2.48,1.5,2.83,1.9,2.79,1.71,2.52,3.29,2.58,1.76,1.16,0.7,2.4,3.56,4.67,3.36,1.07,1.6,1,3.39,2.5,4.85,1.96,4.09,2.88,2.5,3.6,3.87,1.14,1.86,4.93,5.41,4.26,1.74,2.78,2.43,1.93,4.78,2.38,2.06,2.3,2.02,1.02,1.18,1.73,4.37,1.75,0.56,2.68,0.16,2.28,2.58,2.12,1.09,1.82,2.2,0.97,2.42,2.26,3.5,1.59,1.07,0.55,1.26,0.97,5.12,1.19,2.15,1.46,5.41,2.17,1.54,2.56,2.45,2.15,3.5,1.61,2.36,1.64,,,,,,,,,,,,,,,,,,,
April,,1.27,4.24,1.88,1.16,2.22,1.54,0.68,1.79,2.59,1.21,2.11,0.76,0.41,1.45,2.44,1.35,2.75,2.04,3.99,2.11,2.87,2.05,2.22,2.12,2.72,2.32,2.19,2.44,2.33,3.53,2.31,0.39,3.96,1.2,1.46,3.41,2.48,1.32,2.19,6.13,1.91,2.31,3.01,2.62,2.37,1.41,2.83,1.34,0.84,3.53,4.97,3.04,1.34,1.84,3.35,1.43,3.49,0.29,1.93,2.17,1.81,1.77,1.27,2.42,2.16,1.13,2.74,1.69,2.67,4.22,2.87,3.24,2.49,0.7,2.15,1.45,0.41,1.38,3.05,1.66,,,,,,,,,,,,,,,,,,,
May,,2.75,2.13,0.88,1.68,2.35,5.63,1.89,1.02,3.63,1.82,3.58,4.06,2.19,2.38,0.81,0.48,2.25,3.92,2.17,1.52,1.19,3.49,2.61,2.45,0.49,3.91,3.64,2.69,1.69,2.43,0.92,2.07,3.01,2.85,2.65,2.19,2.69,2.72,1.29,4.83,1.16,0.99,3.28,4.73,5.84,3.61,1.39,0.69,1.87,2.2,3.27,5.02,1.67,1.73,0.71,0.48,2.36,2,1.88,1.58,2.83,4.41,3.46,1.88,3.41,1.55,2.89,1.22,1.57,0.97,2.63,2.53,1.66,2.71,3.01,1.01,1.39,3.67,0.9,1.99,,,,,,,,,,,,,,,,,,,
June,,1.94,6.81,4.46,1.78,3.56,1.38,0.89,3.07,0.67,2.69,2.49,3.5,2.3,2.31,1.29,3.43,2.9,2.27,2.05,4.55,1.72,1.92,0.82,0.88,1.91,1.61,5.58,2.71,3.48,1.72,3.54,4.81,2.04,2.05,2.26,2.47,2.27,1.78,2.29,3.87,0.67,1.74,0.97,3.1,0.09,2.51,6.14,4.12,1.51,1.74,5.23,0.83,2.68,1.37,4.73,2.73,1.38,2.99,1.95,1.17,1.05,0.38,3.2,3.35,3.66,4.24,1.26,4.69,0.81,1.91,2.16,2.7,2.86,3.5,2.62,2.36,2.07,5.48,1.42,2.97,,,,,,,,,,,,,,,,,,,
July,,3.3,6.18,3.67,3.36,1.21,3.32,1.23,5.26,3.39,2.79,2.81,3.09,2.3,2.72,4.56,1.52,2.15,1.24,2.84,3.16,2.64,2.57,3.49,2.82,2.91,0.63,3.72,3.68,5.19,5.54,0.57,4.31,0.96,6.77,6.51,2.96,1.47,3.56,3.11,4.99,0.92,4.61,3.47,4.32,2.39,2.54,4.98,1.92,2.9,6.89,3.72,3.07,2.9,1.99,1.08,6.17,3.32,3.62,5.35,4.89,3.62,3.86,1.84,3.6,1.39,3.2,3.36,2.26,1.45,2.45,2.22,2.23,3.31,3.89,0.63,4.97,4.76,4.54,1.91,4.25,,,,,,,,,,,,,,,,,,,
August,,6.67,4.2,2.18,2.43,1.3,1.81,2.17,3.26,6.22,3.45,4.09,2.79,2.37,3.67,3.69,2.77,3.39,5.13,2.12,4.64,3.71,3.48,5.18,4.73,4.31,2.76,4.32,4.06,2.39,5.98,3.19,5.98,2.3,3.22,3.41,3.28,5.4,2.71,3.32,2.03,5.39,4.32,3.73,6.8,3.07,3.17,4.78,4.36,3.83,4.34,5.26,2.66,0.71,2.97,1.99,2.22,0.82,3.33,1.57,1.08,4.37,2.85,3.78,2.95,3.33,4.69,0.65,4.51,3.29,4.98,4.75,2.43,3.58,5.17,1.49,8.28,4.59,4.12,0.86,4.78,,,,,,,,,,,,,,,,,,,
September,,2.11,2.03,7.46,2.59,4.4,2.5,3.57,0.87,3.81,0.61,2.79,3.05,2.42,0.34,0.72,5.92,5.03,1.23,3.65,1.15,1.06,1.62,6.01,1.92,1.9,2.09,0.91,3.01,3.66,0.47,2.38,1.97,1.38,2.15,0.45,2.3,1.41,6.7,3.74,3.53,1.48,3.75,3.88,3.5,4.61,2.27,4.18,1.03,1.72,3.84,3.39,2.47,0.81,2.26,4.64,4.56,1.23,2.4,0.85,2.88,0.61,2.07,4.25,4,2.04,4.72,1.53,2.02,0.62,4.72,2.48,2.54,2.43,4.22,2.37,2.68,7.12,5.39,0.13,4.59,,,,,,,,,,,,,,,,,,,
October,,2.77,5.14,4.88,2.05,5.6,5.16,2.35,1.08,2.87,2.49,5.6,4.96,1.66,4.04,2.47,3.69,1.52,2.72,3.35,4.78,3.57,3.54,7.44,1.47,3.4,4.92,4.22,1.02,5.67,2.7,2.86,3.69,3.2,2.07,1.7,4.56,6.05,2.15,2.86,2.33,3.15,0.51,3.28,5.05,4.77,2.85,2.42,4.58,4.6,5.67,1.13,6.4,5.39,3.08,6.03,3.69,2,3.87,2.52,3.97,4.24,3.76,2.85,5.3,5.68,0.65,0.45,2.39,4.12,1.51,0.99,3.81,2.08,5.54,2.66,2.55,2.81,3.95,2.46,5.17,,,,,,,,,,,,,,,,,,,
