GREENFORD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ144818,Long,-0.3524283,Lat,51.523539,Elevation,61,ft.,,,,,,,,,,,,,
Station no,849,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.13,2.79,1.48,1.85,1.95,1.36,0.88,4.45,4.04,2.44,,
February,,,,,,,,,,0.53,0.7,1.86,0.16,2.38,0.36,1.95,2.1,4.63,0.34,,
March,,,,,,,,,,0.03,1.34,0.39,1.16,2.39,2.33,0.39,1.19,3.11,0.29,,
April,,,,,,,,,,1.1,1.93,3.67,2.33,0.64,1.9,2.76,1.36,2.5,0.09,,
May,,,,,,,,,,1.53,3,2.65,5.06,1.94,0.58,0.96,0.49,2.72,1.66,,
June,,,,,,,,,,1.18,1.39,1.71,0.85,2.04,0.86,3.61,3.7,1.94,0.34,,
July,,,,,,,,,,2.49,1.99,3.18,2.14,0.99,1.71,1.26,4.44,0.77,0.74,,
August,,,,,,,,,,1.81,3.01,6.45,1.22,0.76,2.43,2.12,0.31,2.13,3.3,,
September,,,,,,,,,,0.31,3.07,2.6,1.92,2.31,1.43,4.09,3.15,2.33,2.62,,
October,,,,,,,,,,2.74,1.03,0.78,4.96,1.5,1.44,2.47,1.72,2.16,2.31,,
November,,,,,,,,,,5.57,4.32,2.53,1.58,1.29,1.6,4.48,3.21,1.47,2.54,,
December,,,,,,,,,,5.03,2.22,0.72,0.52,0.45,4.16,2.84,1.73,3.44,3.36,,
Total,,,,,,,,,,23.45,26.79,28.02,23.75,18.64,20.16,27.81,27.85,31.24,20.03,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is based on the relationships to the church and station and is a council facility, the observer is Middlesex County Council. Altitudes match.",,,,,,,,,,,,,,,,,,,,,
