MARDALE (RIGGINDALE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY466118,Long,-2.826033,Lat,54.498698,Elevation,892,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3665/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,16.96,20.72,21.3,4,3.19,11.18,16.52,14.3,7.8,14.57,13,18.51,8.43,5.34,10.22,9,5.8,8.8,9.7,7.9,22.1,12.36,8.03,15.3
February,,,,,,,13.65,8.31,17.19,4.15,11.96,3.55,11.11,3.03,10,6.25,2.5,7.08,11.08,13.47,8.94,1.42,3.6,7.7,3.1,1.3,11.52,11.52,4.03,15.95
March,,,,,,,5.27,12.59,9.79,14.83,6.45,7.67,3.07,1.13,7,6.42,10,7.02,2.07,6.21,5.54,7,2.05,7.5,2.92,4.1,9.75,2.88,9.4,2.53
April,,,,,,,6.89,1.22,4.84,3.96,3.64,8.56,6.24,3.6,5,2.01,11.57,4.52,7.24,7.17,6.85,6.4,6.8,2,3.9,2.5,3.19,3.85,9.75,11.14
May,,,,,,,3.84,7.68,1.58,2.02,6.53,8.38,7.73,2.73,7.5,1.48,3.57,3.66,3.94,3.73,1.69,4,4.85,6.9,10.8,6.1,5.52,9.16,2.5,3.51
June,,,,,,,5.56,15.29,9.01,1.15,0.15,0.74,7.62,6.11,6.59,7.86,5.33,10.71,1.45,5.7,2.16,5.7,5.25,8.9,6.7,6.4,2.71,6.49,6.47,6.61
July,,,,,,,4.46,15.91,15.81,7.94,2.63,6,6.73,4.97,4.61,7.04,4.75,5.21,3.37,6.96,5.6,4.35,13.9,9.75,3.4,7.8,6.6,6.93,8.55,9.63
August,,,,,,,4.53,7.32,4.88,3.75,13.84,9.68,13.9,7.47,3,8.13,0.11,10.83,4.17,10.22,9.86,9.15,8.85,8.75,3.5,12.45,10.25,6.72,1.83,6.02
September,,,,,,,11.02,6.32,4.07,8.38,2.22,10.61,7.72,8.27,8,16.06,8.59,10.12,2.34,10.48,13.8,9.8,12.4,16.8,6.4,8.45,10.16,11.8,1.84,5.21
October,,,,,,,5.89,29.74,4.57,14.9,9.59,10.21,13.5,9.44,11.47,1.37,2.27,7.06,11.26,8.63,1.66,12.3,5.65,25.75,7.5,10.8,15.25,10.52,11.01,7.1
November,,,,,,,2.98,22.9,20.13,15.78,7.87,2.2,6.44,20.88,0.47,19.31,15.45,6.86,12.17,5.42,21.9,6.9,17,19.4,5.2,3.95,4.75,2.02,15.44,22.12
December,,,,,,,6.18,9.36,6.38,13.48,8.04,17.26,6.38,5.65,6.41,10.14,2.86,14.5,15.26,3.3,11.6,9.44,7.8,13.1,18.8,14.5,11.43,9.54,23.95,13.34
Total,,,,,,,87.23,157.36,119.55,94.34,76.11,96.04,106.96,87.58,77.85,100.64,80,106.08,82.78,86.63,99.82,85.46,93.95,135.35,81.92,86.25,113.23,93.79,102.8,118.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12982,RIGGINDALE ,01/01/1937,31/12/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,
