"MARDALE (RIGGINDALE)",,,,,,,,,,,,
Grid ref,NY466118,Long,-2.826033,Lat,54.498698,,,,,,,
Station no,3665/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.22,9.00,5.80,8.80,9.70,7.90,22.10,12.36,8.03,15.30,,
February,8.94,1.42,3.60,7.70,3.10,1.30,11.52,11.52,4.03,15.95,,
March,5.54,7.00,2.05,7.50,2.92,4.10,9.75,2.88,9.40,2.53,,
April,6.85,6.40,6.80,2.00,3.90,2.50,3.19,3.85,9.75,11.14,,
May,1.69,4.00,4.85,6.90,10.80,6.10,5.52,9.16,2.50,3.51,,
June,2.16,5.70,5.25,8.90,6.70,6.40,2.71,6.49,6.47,6.61,,
July,5.60,4.35,13.90,9.75,3.40,7.80,6.60,6.93,8.55,9.63,,
August,9.86,9.15,8.85,8.75,3.50,12.45,10.25,6.72,1.83,6.02,,
September,13.80,9.80,12.40,16.80,6.40,8.45,10.16,11.80,1.84,5.21,,
October,1.66,12.30,5.65,25.75,7.50,10.80,15.25,10.52,11.01,7.10,,
November,21.90,6.90,17.00,19.40,5.20,3.95,4.75,2.02,15.44,22.12,,
December,11.60,9.44,7.80,13.10,18.80,14.50,11.43,9.54,23.95,13.34,,
Total,99.82,85.46,93.95,135.35,81.92,86.25,113.23,93.79,102.80,118.46,,
Calc annual,99.82,85.46,93.95,135.35,81.92,86.25,113.23,93.79,102.80,118.46,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
