"KNIGHTON, LURKENHOPE",,,,,,,,,,,,,,,,,,,,,
Grid ref,SO288741,Long,-3.0469598,Lat,52.360313,Elevation,650,ft.,,,,,,,,,,,,,
Station no,2266/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,,5.2,3,3.6,1.1,,,,,
February,,,,,,,,,,,,,0.2,4.1,0.25,3.85,,,,,
March,,,,,,,,,,,,,3.3,2.75,3.23,0.9,,,,,
April,,,,,,,,,,,,,5.5,0.95,3.65,,,,,,
May,,,,,,,,,,,2.75,,4,1,1.8,,,,,,
June,,,,,,,,,,,0.85,3.8,0.9,2.65,1.4,,,,,,
July,,,,,,,,,,,1.5,3.35,3.5,2.9,1.6,,,,,,
August,,,,,,,,,,,3.15,6.25,2.2,1,1.8,,,,,,
September,,,,,,,,,,,4.15,2.3,2.5,0.9,1.33,,,,,,
October,,,,,,,,,,,3.45,0.6,5.9,4,2.03,,,,,,
November,,,,,,,,,,,2.6,4.3,1.8,0.75,2.35,,,,,,
December,,,,,,,,,,,1.85,1.7,2.45,1.2,6.95,,,,,,
Total,,,,,,,,,,,,,37.45,25.2,29.99,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Lurkenhope. Stated altitude is about 100 ft. too low. Relationship to church and station only work if they are measured by road rather than as the crow flies. The 1930s record has two names both crossed out but based on the altitudes and relationships the record is Lurkenhope. Note the observer Miss M A Davies moved between the two locations,,,,,,,,,,,,,,,,,,,,,
