WOOLTON CAMP HILL GARDENS,,,,,,,,,,
Grid ref,SJ424858,Long,-2.867071,Lat,53.365914,Elevation,189,ft,,
Station no,RR4277,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,2.15,1.42,4.15,1.06,,
February,,,,,3.65,1.38,2.28,1.59,,
March,,,,,1.63,3.28,2.31,2.12,,
April,,,,,1.59,1.87,1.19,1.73,,
May,,,,,1.95,0.79,2.48,3.24,,
June,,,,,2.18,2.21,1.26,6.24,,
July,,,,,1.33,2.64,1.1,3.76,,
August,,,,,4.58,3.42,2.99,3.46,,
September,,,,,1.64,1.67,1.63,0.69,,
October,,,,,2.24,2.85,5.08,3.24,,
November,,,,,2.32,3.38,1.99,3.03,,
December,,,,,3.05,0.49,3.44,2.11,,
Total,,,,39.25,28.31,25.4,29.9,32.27,,
,,,,,,,,,,
Gauge moved approx 1 mile north in 1908 to Roseleigh,,,,,,,,,,
