"MERSTHAM (MERSTHAM LODGE)",,,,,,,,,,,,
Grid ref,TQ285547,Long,-0.159102,Lat,51.276963,,,,,,,
Station no,126,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.03,2.93,1.74,1.88,3.07,4.24,2.33,3.32,3.22,3.20,,
February,7.19,1.25,1.82,2.80,2.17,0.57,4.10,2.36,0.14,2.59,,
March,4.11,3.70,0.53,3.31,1.61,0.87,1.71,1.99,2.50,2.31,,
April,3.69,1.87,2.95,0.45,0.36,2.02,0.26,1.52,2.66,0.95,,
May,2.95,1.61,2.27,2.89,4.36,0.37,1.84,2.57,0.81,2.01,,
June,1.57,1.80,2.08,5.14,2.29,3.05,1.28,4.40,2.16,1.74,,
July,2.69,0.85,3.94,4.08,2.00,5.15,4.34,2.04,1.12,3.92,,
August,5.09,3.37,2.28,3.38,1.39,3.38,2.81,3.24,1.23,3.65,,
September,3.40,3.18,4.01,2.70,2.54,3.25,3.25,5.53,0.21,3.77,,
October,1.52,3.84,4.23,2.75,4.55,1.65,2.22,4.21,2.98,6.59,,
November,7.36,3.94,1.79,5.74,1.48,1.02,2.95,2.55,3.61,6.04,,
December,3.35,3.35,0.80,1.99,2.81,3.96,2.72,3.88,5.68,3.85,,
Total,46.95,31.69,28.44,37.11,28.63,29.53,29.81,37.61,26.32,-999.00,,
Calc annual,46.95,31.69,28.44,37.11,28.63,29.53,29.81,37.61,26.32,40.62,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1039.62,,
