MERSTHAM-MERSTHAM-LODGE-(GATTON-THE-COTTAGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ278533,Long,-0.16884,Lat,51.26467,Elevation,434,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,2.67,,2.89,1.84,2.33,1.83,1.86,1.53,5.12,4.54,3.15,4.21,2.2,2.24,2.98,,,,,,,,
February,,,,,,,,,1.45,,0.88,2.33,0.48,2.32,0.42,3.06,1.96,4.24,0.86,1.66,2,2.34,0.39,,,,,,,,
March,,,,,,,,,1.86,,2.04,0.42,1.53,3.13,2.45,0.62,1.74,3.65,0.4,1.85,2.8,3.58,2.01,,,,,,,,
April,,,,,,,,,1.75,,1.75,4.53,2.61,0.75,2.93,3.54,2.08,3.17,0.2,2.93,2.12,2.03,1.52,,,,,,,,
May,,,,,,,,,1.87,,2.89,3.11,3.96,2.63,0.6,1.75,0.56,2.04,2.23,1.63,1.44,2.03,3.7,,,,,,,,
June,,,,,,,,,2.41,,0.58,1.54,1.5,1.94,0.96,4.81,3.13,2.11,0.68,1.1,0.37,2.42,0.15,,,,,,,,
July,,,,,,,,,1.75,,2.65,3.14,2.45,2.07,1.9,1.81,3.87,1.32,1.91,2.57,2.73,3.98,,,,,,,,,
August,,,,,,,,,2.8,,3.71,4.65,0.91,1.03,2.11,3.62,1.57,1.3,2.32,3.11,0.15,4.69,,,,,,,,,
September,,,,,,,,,0.67,,3.88,2.1,2.24,3.17,1.89,4.64,2.47,2.12,2.16,2.01,1.88,0.49,,,,,,,,,
October,,,,,,,,,5.07,,1.89,0.83,6.5,2.55,2.66,4.18,2.23,2.79,3.17,6.28,3.2,1.79,,,,,,,,,
November,,,,,,,,,2.09,,4.64,3.28,1.43,1.18,3.14,5.77,4.14,2.09,3.1,4.57,7.23,2.76,,,,,,,,,
December,,,,,,,,,3.27,,2.08,0.64,0.77,0.62,7.24,3.52,2.75,4.04,2.93,1.4,1.76,2.54,,,,,,,,,
Total,,,,,,,,,27.66,,29.88,28.41,26.71,23.22,28.16,38.85,31.62,33.41,23.11,33.32,27.88,30.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Gauge at Gatton Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannot locate Gatton Cottage but distance changes suggest it was on the Gatton Park Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge moved to Gatton The Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read 8.30am in winter and summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Hedge 15ft N removed Now gauge in open rose garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 July 1 Gauge moved .8 miles NNE to Merstham Lodge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
