MERSTHAM-MERSTHAM-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ283546,Long,-0.16137,Lat,51.27657,Elevation,500,ft,,,,,,,,,,,,
Station no,126,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,6.64,2.86,2.53,3.42,2.47,4.57,1.64,1.36,4.03,2.93,1.74,1.88,3.07,4.24,2.33,3.32,3.22,3.2
February,,,1.97,1.11,2.09,2.92,1.23,2.35,1.65,5.26,7.19,1.25,1.82,2.8,2.17,0.57,4.1,2.36,0.14,2.59
March,,,0.46,0.22,1.05,1.55,6.33,0.85,1.16,1.65,4.11,3.7,0.53,3.31,1.61,0.87,1.71,1.99,2.5,2.31
April,,,1.27,1.9,1.57,2.66,2.12,1.89,2.07,3.58,3.69,1.87,2.95,0.45,0.36,2.02,0.26,1.52,2.66,0.95
May,,,2.92,0.88,2.73,3.1,1.89,1.93,2.41,1.67,2.95,1.61,2.27,2.89,4.36,0.37,1.84,2.57,0.81,2.01
June,,,1.86,1.99,2.77,3.04,2.97,3.04,1.06,1.66,1.57,1.8,2.08,5.14,2.29,3.05,1.28,4.4,2.16,1.74
July,,,1.88,2.72,3.67,3.03,1.97,1.92,1.01,3.29,2.69,0.85,3.94,4.08,2,5.15,4.34,2.04,1.12,3.92
August,,,1.41,3.22,1.82,5.07,0.49,5.12,1.52,2.55,5.09,3.37,2.28,3.38,1.39,3.38,2.81,3.24,1.23,3.65
September,,,1.83,2.78,2.51,4,1.66,2.1,0.52,4.02,3.4,3.18,4.01,2.7,2.54,3.25,3.25,5.53,0.21,3.77
October,,4.16,3.63,4.76,4.28,1.25,0.54,2.41,7.7,0.51,1.52,3.84,4.23,2.75,4.55,1.65,2.22,4.21,2.98,6.59
November,,2.11,2.5,5.57,0.47,5,1.39,2.29,3.27,7.03,7.36,3.94,1.79,5.74,1.48,1.02,2.95,2.55,3.61,6.04
December,,3.96,2.41,3.03,3.97,3.31,2.99,4.46,1.86,2.6,3.35,3.35,0.8,1.99,2.81,3.96,2.72,3.88,5.68,3.85
Total,,,28.78,31.04,29.46,38.35,26.05,32.93,25.87,35.18,46.95,31.69,28.44,37.11,28.63,29.53,29.81,37.61,26.32,40.62
,,,,,,,,,,,,,,,,,,,,
1942 July 1 Gauge moved to Merstham Lodge ,,,,,,,,,,,,,,,,,,,,
The elevation here is nearer 550ft than 500ft,,,,,,,,,,,,,,,,,,,,
1942 Oct 1 Observations re-commenced Will be regarded as continuation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SRC_ID 6507,,,,,,,,,,,,,,,,,,,,
1928-1972,,,,,,,,,,,,,,,,,,,,
