"GLENLUCE (CAMRIE FARM)",,,,,,,,,,,,
Grid ref,NX201600,Long,-4.807328,Lat,54.902236,,,,,,,
Station no,5008/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.91,4.92,2.24,5.44,4.11,4.37,4.39,5.92,2.06,5.41,,
February,3.60,1.30,2.27,4.29,3.96,1.53,3.24,4.57,2.44,4.95,,
March,4.02,2.96,0.45,4.57,1.70,2.34,4.18,1.70,3.64,3.35,,
April,1.55,1.88,2.09,1.55,3.47,1.62,1.77,1.81,3.28,4.14,,
May,2.71,2.92,3.05,3.15,3.55,1.49,2.69,2.54,1.18,2.51,,
June,2.08,3.32,1.11,4.68,4.71,3.19,2.39,4.14,2.93,2.89,,
July,2.86,2.78,7.49,5.92,2.02,4.95,4.23,3.92,3.14,6.52,,
August,6.11,5.48,3.29,4.45,1.78,8.07,4.03,5.20,0.76,4.81,,
September,3.90,4.77,7.18,7.04,4.15,4.02,5.39,4.67,2.57,4.55,,
October,0.68,4.21,4.94,8.48,2.93,4.08,5.13,3.52,6.09,5.48,,
November,8.98,3.39,5.77,7.83,3.57,3.26,2.26,3.30,6.39,6.16,,
December,7.37,4.77,5.10,7.06,5.82,4.39,5.61,5.54,9.58,4.83,,
Total,49.77,42.70,44.98,64.46,41.77,43.31,45.31,46.83,44.06,55.60,,
Calc annual,49.77,42.70,44.98,64.46,41.77,43.31,45.31,46.83,44.06,55.60,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
