WEST LINTON (BADDINGSGILL RESERVOIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT126554,Long,-3.395179,Lat,55.783984,Elevation,1100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5078/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.57,7.04,4.72,5.7,2.47,6.64,5.1,6.4,6.52,1.75,1.62,5.7,3.28,4.95,3.77,3.66,3.41,8.1,4.45,2.79,4.74,4.02,1.66,4.49,2.18,2.72,5.12,3,1.53,4.65
February,4.52,0.49,4.72,0.55,5.14,3.86,4.88,2.09,4.38,1.45,6.34,1.78,3.97,2.04,5.53,3.16,1.56,3.9,3.94,4.74,3,1.26,1.67,2.34,1.54,3,3.49,2.44,1.68,3.45
March,1.56,3.63,1.63,5.55,2.02,2.45,2.99,3.19,5.1,4.38,3.43,2.37,2.75,0.62,2.85,2.74,4.16,2.79,1.89,3.67,4.42,2.04,1.09,2.43,1.76,2.49,3.74,1.82,1.42,2.14
April,3.33,4.88,3.59,6.32,4.13,2.08,1.52,0.77,2.64,3.18,2.34,2,2.27,2.67,1.79,1.38,5.81,3.97,3.46,4.86,4.18,2.05,3.8,1.91,1.68,1.5,2.12,2.15,3.16,2.39
May,3.76,4.24,2.22,3.23,1.17,0.89,2.57,5.16,1.27,3.57,4.64,2.64,5.41,3.99,4.61,1.95,3.54,2.1,2.34,2.2,2.99,1.48,2.13,5.66,3.39,2.17,2.75,3.27,1.96,1.42
June,5.82,1.55,2.29,2.57,2.82,2.14,2.98,6.75,2.17,1.14,1.16,1.33,3.44,4.04,3.21,2.52,3.75,6.27,1.2,3.07,2.18,3.38,1.82,4.08,1.81,3.54,2.77,3.1,2.66,1.55
July,4.59,3.1,4.82,3.08,1.97,6.15,4.55,4.29,3.47,6.57,3.22,4.09,3.09,3,3.1,5.34,3.05,3.67,2.21,5.06,3.94,3.37,5.88,3.75,2.5,5.41,4.94,6.34,4.52,3.12
August,5.77,1.32,2.29,3.86,2.1,2.93,4.61,2.22,1.45,2.01,5.01,4.35,5.48,3.65,4.79,3.62,0.13,9.57,3.62,4.08,5.71,4.06,2.81,6.22,1.87,7.08,6.38,4.19,1.27,4
September,1.46,5.36,1.89,3.33,5.27,3.41,3,3.34,2.28,4.36,1.22,5.23,3.13,5.49,6.27,5.95,2.8,4.66,2.58,9.37,2.25,3.58,3.91,5.63,3.29,4.18,2.79,5.48,1.11,2.39
October,3.91,8.12,3.4,7.54,9.26,5.17,4.04,8.84,3.16,4.2,4.19,6.81,6.25,3.86,5.74,0.78,1.83,3.71,6.34,3.85,1.21,2.93,1.81,8.2,3.09,3.8,4.77,2.95,4.51,3.59
November,5.15,3.87,1.79,3.46,6.36,4.57,0.66,8.51,7.44,6.22,2.95,1.01,2.16,9.4,0.92,5.15,6.68,2.88,5,5.78,6.18,3.63,7.35,4.96,1.38,1.8,2.62,1.92,7.16,5.04
December,3.39,7.63,1.27,4.58,1.83,3.97,8.35,3.59,1.96,4.22,2.42,3.6,2.83,5.33,2.92,3.74,3.43,5.1,8.87,1.99,4.97,4.91,4.48,7.48,6.8,5.56,6.02,7.08,4.69,6.36
Total,46.83,51.23,34.63,49.77,44.54,44.26,45.25,55.15,41.84,43.05,38.54,40.91,44.06,49.04,45.5,39.99,40.15,56.72,45.9,51.46,45.77,36.71,38.41,57.15,31.29,43.25,47.51,43.74,35.67,40.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 July 2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15918,BADDINSGILL RESR ,NT1271955444,01/01/1931,Current ,,,,,,,,,,,,,,,,,,,,,,,,,,
