"WEST LINTON (BADDINGSGILL RESERVOIR)",,,,,,,,,,,,
Grid ref,NT126554,Long,-3.395179,Lat,55.783984,,,,,,,
Station no,5078/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.74,4.02,1.66,4.49,2.18,2.72,5.12,3.00,1.53,4.65,,
February,3.00,1.26,1.67,2.34,1.54,3.00,3.49,2.44,1.68,3.45,,
March,4.42,2.04,1.09,2.43,1.76,2.49,3.74,1.82,1.42,2.14,,
April,4.18,2.05,3.80,1.91,1.68,1.50,2.12,2.15,3.16,2.39,,
May,2.99,1.48,2.13,5.66,3.39,2.17,2.75,3.27,1.96,1.42,,
June,2.18,3.38,1.82,4.08,1.81,3.54,2.77,3.10,2.66,1.55,,
July,3.94,3.37,5.88,3.75,2.50,5.41,4.94,6.34,4.52,3.12,,
August,5.71,4.06,2.81,6.22,1.87,7.08,6.38,4.19,1.27,4.00,,
September,2.25,3.58,3.91,5.63,3.29,4.18,2.79,5.48,1.11,-999.00,,
October,1.21,2.93,1.81,8.20,3.09,3.80,4.77,2.95,4.51,3.59,,
November,6.18,3.63,7.35,4.96,1.38,1.80,2.62,1.92,7.16,5.04,,
December,4.97,4.91,4.48,7.48,6.80,5.56,6.02,7.08,4.69,6.36,,
Total,45.77,36.71,38.41,57.15,31.29,43.25,47.51,43.74,35.67,40.10,,
Calc annual,45.77,36.71,38.41,57.15,31.29,43.25,47.51,43.74,35.67,37.71,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,2.39,,
