HATHERLEIGH-BROOMFORD-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,SS574017,Long,-4.02348,Lat,50.79812,Elevation,484,ft,,,,,,,,,,,,
Station no,RR4099,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,2.56,5.05,6.88,3.39,6.63,4.03,1.7,2.05,7.01,4.04,3.15,3.1,4.4,3.5,1.23,2.31,,
February,,,2.77,6.25,4.73,5.1,1.19,0.73,1.31,3.13,0.68,0.03,3.06,6.4,3.38,0.2,0.75,4.5,,
March,,,1.9,1.33,2.88,1.21,4.39,1.49,4.72,3.62,1.7,2.39,0.95,0.94,3.36,3.44,4.19,3.74,,
April,,,5.91,1.17,1.87,3,3.07,1.49,1.73,2.22,4.43,1.81,1.55,0.62,2.49,2.18,0.93,4.48,,
May,,,1.97,1.8,2.2,3.07,2.84,1.99,1.55,2.56,2.33,3.7,1.5,2.41,3.15,0.46,0.06,1.45,,
June,,,3.97,2.77,1.54,2.54,1.07,0.14,2.45,0.56,3.06,1.91,2.14,0.8,2.28,1.38,1.79,2.34,,
July,,,4.99,5.21,3.35,0.97,2.19,1.58,5.57,3.63,4.33,2.86,1.89,4.54,3.61,4.52,1.24,2.25,,
August,,,3.52,2.35,2.4,1.98,2.74,1.61,2.94,4.81,4.22,8.63,3.7,1.75,4.54,3.88,2.44,4.39,,
September,,,3.32,5.8,2.79,6.75,3.26,4.59,1.51,1.52,1.64,4.11,4.98,2.96,2.18,1.69,7.44,5.65,,
October,,,6.72,5.14,2.61,7.28,7.65,4.41,2.84,5.46,2.91,7.87,6.64,4.93,6.66,6.44,4.39,1.38,,
November,,,7.63,7.17,3.34,4.6,4.59,3.84,7.11,2.72,5.78,3.23,2.84,3.13,8.43,7.25,1.32,2.37,,
December,,,6.41,2.17,7.07,1.81,7.33,4.18,4.22,3.55,3.29,6.28,3.09,6.04,3.68,6.08,5.72,6.37,,
Total,,,51.67,46.21,41.66,41.7,46.95,30.08,37.65,35.83,41.38,46.86,35.49,37.62,48.16,41.02,31.5,41.23,,
,,,,,,,,,,,,,,,,,,,,
Exact location unknown as a large estate but altitude and being near vineries suggests this NGR rather than actual house,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1898 Record accidentally destroyed,,,,,,,,,,,,,,,,,,,,
