LOCH-RYAN-LIGHTHOUSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,NX0613068626 ,Long ,-5.030706,Lat ,54.974417,Elevation ,10,ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January ,,,,,,,,,2.06,3.95,4.23,2.25,1.8,1.85,4.08,2.08,2.22,1.19,1.42,3.13,3.93,2.45,2.55,4.6,4.45,2.3,4.4,2,4.05,2.2,1.9,1.1,3.43,4.92,2.53,2.95,3.7,2.88,3.93,1.7,3.83,5.13,4.75,3.3,3.25,2.8,,5.5,8.31,2.29,6.24,,2.81,,,,,,,,
February ,,,,,,,,,0.73,2.3,1.15,0.2,1.7,3.22,4.92,0.04,1.18,1.64,2.57,1.96,3.57,1.95,1.4,2.8,3.4,3.15,2.15,2.1,3.05,1.75,9.8,3.2,2.57,1.96,5.58,6.26,2.9,0.98,4.96,0.93,1.68,1.13,4.29,6.19,0.93,4.57,,2.65,2.96,2.3,0.27,,0.05,,,,,,,,
March ,,,,,,,,,0.77,2.79,1.9,2.25,0.35,1.75,1.78,5.49,3.74,4.67,0.84,2.43,0.8,2.55,1,3.6,2.95,3.6,2,3.4,5.95,3.7,3.25,,3.89,3.26,4.55,2.48,1.56,1.2,0.89,2.76,2.58,4.34,1.58,2.29,1.16,0.91,,5.04,4.65,1.08,2.63,,1.93,,,,,,,,
April ,,,,,,,,,0.85,2.26,0.4,3.1,0.5,1.4,0.88,3.45,1.1,1.71,1.92,3.32,2.11,2,1.25,1.15,2.6,2.05,1.1,2.3,2,2.74,3.05,2.95,1.02,3.03,2.18,2.9,3.15,1.59,0.62,1.57,2.32,1.13,2.93,2.27,2.18,1.56,,2.25,2.07,1.02,2.02,,2.47,,,,,,,,
May ,,,,,,,,,2.67,2.95,1.9,2,6.75,1.12,1.93,0.3,0.58,1.13,2.77,3.33,2.64,1.63,2.2,2.15,2.4,1.1,5,3.05,1.35,1.1,1.9,2.21,1.2,3.74,2.46,1.22,4.6,3.61,2.37,1.2,3.17,1.96,1.39,1.63,2.5,3.73,,2.38,1.74,4.51,1.53,,2.36,,,,,,,,
June ,,,,,,,,,1.94,0.18,5.4,1,3.32,1.35,2.7,0.48,3.14,3.98,2.09,2.18,1.86,1.9,1.8,2.35,2.7,1.55,1.05,5.05,2.1,2.57,2,1.42,4.64,3.44,0.57,0.99,1.91,1.87,1.42,3.4,2.24,0.44,2.55,1.28,1.55,0.36,,4.65,4.42,2.34,2.28,,0.8,,,,,,,,
July ,,,,,,,,,3.14,2.7,4,1.3,2.8,3.62,2.87,2.72,5.76,1.58,0.41,2.58,2.06,0.77,1.95,4.25,3.4,1,1.75,1.95,2.6,6.22,3.85,1.55,2.09,1.54,2.73,3.26,2.91,0.91,2.33,0.78,4.31,2.99,3.18,3.29,2.56,1.95,,2.95,2.54,2.93,2.88,,3.3,,,,,,,,
August ,,,,,,,,,3.31,5.75,2.1,5.95,4.3,4.23,2.71,5.71,1.73,4.7,4.31,0.62,3.66,,2.7,3.05,5.2,4.2,3.15,4.65,2.75,2.05,3.3,1.45,3.69,1.45,3.93,1.44,2.41,2.39,3.96,1.73,3.93,3.28,3.15,5.28,3.83,1.97,,4.15,4.89,4.96,5.09,,0.89,,,,,,,,
September ,,,,,,,,,1.22,3.1,4.4,5.6,2.37,1.8,0.12,0.56,3.52,2.9,4.97,2.11,2.66,4.3,4.15,3,3.85,2.25,1,1.7,3.95,2.05,2,1.55,2.48,2.82,1.55,0.95,1.64,1.79,2.49,2,2.19,1.74,2.52,3.34,5.72,3.44,,5.51,2.28,1.34,3.69,,2.78,,,,,,,,
October ,,,,,,,,,1.3,3.05,2.65,7.7,4.12,3.8,4.39,3.89,2.08,1.79,1.94,1.66,2.81,5.4,1.4,7.15,2.75,3.6,6.3,5.95,2,5.6,3.2,2.66,4.72,2.46,1.6,4.68,5.95,5.63,3.61,1.36,3.94,2.42,1.66,4.47,2.35,3.48,,4.09,7.68,5.79,5.94,,3.84,,,,,,,,
