"BRAUGHING (UPP HALL)",,,,,,,,,,,,
Grid ref,TL409241,Long,0.046393,Lat,51.897640,,,,,,,
Station no,968/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.67,1.83,0.99,1.09,2.39,3.29,0.79,2.13,2.31,2.21,,
February,3.83,0.65,1.79,,1.71,0.57,2.31,2.36,0.12,1.59,,
March,3.06,2.71,0.39,,1.51,0.55,1.10,1.06,1.79,0.97,,
April,2.85,1.04,2.48,,0.38,1.03,0.20,1.01,2.14,0.41,,
May,2.22,1.02,1.53,,4.45,0.45,0.63,2.64,0.78,1.10,,
June,1.03,2.00,1.94,2.32,2.24,2.79,1.22,5.99,1.07,1.59,,
July,0.98,0.61,3.17,3.06,0.28,5.08,3.12,3.35,3.81,2.34,,
August,4.53,5.33,1.52,3.21,1.20,5.14,1.57,2.72,0.63,3.04,,
September,2.71,3.30,1.86,1.29,1.55,1.81,3.14,2.95,0.10,4.13,,
October,1.00,2.44,2.88,,3.73,1.89,2.14,2.51,1.79,5.87,,
November,4.01,3.75,1.34,3.90,0.82,0.97,2.23,1.91,2.30,2.83,,
December,1.65,2.73,0.60,1.49,1.97,2.89,1.81,2.77,4.23,3.14,,
Total,30.54,27.41,20.49,,22.23,26.46,20.26,31.40,21.07,29.22,,
Calc annual,30.54,27.41,20.49,16.36,22.23,26.46,20.26,31.40,21.07,29.22,,
Difference,0.00,0.00,-0.00,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
