SHAP HILLFIELD,,,,,,,,,,
Grid ref,NY563153,Long,-2.6767932,Lat,54.531081,Elevation,834,ft,,
Station no,RR8856,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.13,1.68,4.57,
February,,,,,,,2.71,6.17,4.57,
March,,,,,,,4.93,9.45,1.31,
April,,,,,,,1.78,3.01,4.61,
May,,,,,,,0.49,2.01,2.16,
June,,,,,,,3.7,3.23,2.4,
July,,,,,,,3.57,1.51,1.05,
August,,,,,,,2.35,6.83,4.34,
September,,,,,,,7.86,5.14,1.22,
October,,,,,,,6.29,3.92,4.37,
November,,,,,,,1.83,5.81,5.98,
December,,,,,,,6.96,13.51,10.73,
Total,,,,,,,44.6,62.27,47.31,
