STRINE DALE RES NO 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD957067,Long,-2.066381,Lat,53.556905,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,435492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.53,2.81,0.84,2.39,5.02,1.6,1.93,3.74,3.52,2.53,2.59,3.3,1.04,3.93,2.78,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.06,0.55,2.11,0.78,0.99,2.23,2.26,3.68,2.79,2.49,3.77,0.9,2.4,3.85,0.55,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.45,2.8,4.84,3.8,1.16,3.34,1.03,1.6,1.52,3.19,1.38,2.12,0.96,2.91,1.97,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.79,0.75,1.08,2.81,1.47,1.29,1.9,1.44,4.48,1.69,1.83,2.05,4.26,4.04,0.49,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,0.48,3.09,1.14,5.41,1.87,4.13,2.5,1.59,3.36,1.43,3.97,1.38,2.02,2.62,2.05,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.44,7.73,2.55,3.29,4.32,2.9,1.01,5.41,1.96,0.31,1.22,1.84,3.96,6.34,2.57,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.56,2.63,3.93,4.53,1.87,1.43,2.53,4.49,6.95,0.37,1.09,1.28,4.53,6.46,4.87,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,6.91,5.1,2.16,2.81,5.27,2.51,5.75,4.8,2.31,2.49,2.43,2.57,1.69,3.5,4.79,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,5.62,3.1,4.13,4.74,5.78,3.88,0.8,6.39,2.6,2.3,6.19,2.6,5.49,5.92,2.62,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.48,4.47,1.7,4.59,5.99,2.96,5.71,2.87,3.5,4.91,3.11,8.81,4.11,4.73,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,2.31,3.35,4.32,1.27,2.6,2.93,3.19,5.72,1.95,2.22,4.24,2.43,1.19,4.21,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,3.05,2.14,1.81,2.65,2.53,2.39,0.72,4.53,3.26,8.26,3.61,2.07,2.21,1.94,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,36.68,38.52,30.61,39.07,38.87,31.59,29.33,46.26,38.2,32.19,35.43,31.35,33.86,50.45,,,,,,,,,,,,,,,,,,,
