TREHERBERT BUTE COLLIERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS934984,Long,-3.542314,Lat,51.67468,Elevation,670,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,10.19,9.06,7.45,3.66,4.02,16.56,10.37,5.04,5.29,12.23,8.84,3.9,4.25,5.64,14.96,8.75,4,5.3,13.91,13.16,3.29,15.81,5,8.17,4.14,11.12,4.19,10.08,14.63,7.15,,7.49,3.4,8.81,10.99,16.93,,,,,,,,,,,
February,,,,,,12.6,2.03,3.63,0.91,3.6,2.49,0.19,3.83,14.79,9.61,0.52,2.31,8.65,5.17,7.74,9.96,2.77,3.74,6.92,9.75,4.04,7.16,4.8,5.47,1.39,12.49,9.36,8.28,4.86,14.68,,11.01,2.25,9.57,6.51,6.15,,,,,,,,,,,
March,,,,,,4.48,12.86,4.78,8.81,5.43,5.67,3.96,2.1,1.13,9.31,6.32,9.5,13.03,3.15,3.7,0.65,6.02,4.89,15.25,4.09,11.2,6.25,4.69,7.34,7.81,3.27,3.7,17.28,14.12,12.76,,3.7,5.08,0.86,10.02,10.32,,,,,,,,,,,
April,,,,,,6.48,6.09,3.23,3.33,3.99,3.65,7.64,2.4,0.21,4.59,5.14,2.68,9.98,5.24,8.04,0.74,6.7,4.11,3.68,6.48,7.74,1.63,5.72,4.42,6.65,5.81,6.05,0.54,14.84,4.13,,4.63,4.16,3.37,4,13.96,,,,,,,,,,,
May,,,,,,5.08,7.79,4.89,5.2,3.84,4.36,6.72,3.17,5.43,7.02,0.44,0.09,3.86,5.73,6.41,1.5,1.68,3.88,5.76,4.86,0.6,7.78,4.69,6.74,2.8,4.21,4.31,2.11,4.68,5.03,,4.07,4.96,2.7,1.77,6.77,,,,,,,,,,,
June,,,,,,5.53,1.16,1.09,4.45,0.35,6.49,4.7,4.31,3.09,4.85,0.71,2.95,5.19,5.74,2.01,3.65,2.43,4.94,1.86,2.79,8.46,3.21,11.01,1.67,5.21,7.54,6.2,8.18,4.23,2.47,,5.62,3.44,4.1,2.91,5.2,,,,,,,,,,,
July,,,,,,4.58,6.58,6.71,10.83,6.53,6.72,5.21,4.36,5.45,5.39,8.1,4.88,3.53,1.82,1.05,2.95,0.39,3.69,4.78,5.52,2.98,2.32,5.39,8.31,6.21,6.66,0.58,7.27,0.68,7.05,,1.76,5.06,9.48,1.46,11.14,,,,,,,,,,,
August,,,,,,6.07,3.91,3.71,7.13,8.18,7.53,16.34,9.37,6.99,6.26,12.1,4.91,13.95,10.32,1.75,6.32,7.41,4.17,13.22,6.37,10.31,6.8,8.99,10.27,2.99,12.07,7.72,15.95,4.35,8.2,,18.89,17.62,4.78,5.56,5.4,,,,,,,,,,,
September,,,,,,11.43,7.96,9.86,2.69,1.06,3.49,7.38,8.56,5.69,2.2,1.58,13.22,10.44,3.65,3.76,3.6,5.78,2.77,8.65,5.29,4.55,2.75,2.22,5.44,7.7,0.32,5.66,1.39,3.48,4.39,,8.16,4.66,17.66,5.35,7.55,,,,,,,,,,,
October,,,,,,10.43,13.29,3.73,4.09,8.45,5.19,17.26,6.43,9.72,13.54,5.5,9.38,5.04,12.24,7.07,9.92,5.19,7.83,20.07,5.38,4.38,13.24,10.73,3.77,18.07,6.21,5.72,10.07,7.74,4.42,,20.36,12.57,7.42,2.7,7.18,,,,,,,,,,,
November,,,,,,11.95,8.45,8.04,14.02,3.62,10.5,8.7,8.82,4.95,11.77,13.48,2.82,9.27,10.36,7.83,6.29,4.32,7.81,5.35,5.79,6.93,7.85,6.04,5.58,4.2,9.55,14.51,5.71,14.94,10.58,,9.59,6.4,8.91,5.48,6.26,,,,,,,,,,,
December,,,,,,3.82,10.02,7.13,12.99,5.93,1.54,18.47,5.09,13.15,8.52,8.11,17.83,20.12,15.1,5.41,17.65,13.71,9.45,8.85,8.37,3.28,4.91,12.43,8.74,16.99,12.27,23.5,15.87,4.54,15.43,,1.96,2.4,19.12,19.05,14.49,,,,,,,,,,,
Total,,,,,,92.64,89.2,64.25,78.11,55,74.19,106.94,63.48,75.89,95.29,70.84,74.47,107.31,84.16,69.73,71.98,60.4,62.58,108.3,77.85,67.76,79.71,81.71,75.92,84.16,91.52,91.5,102.73,93.09,96.29,,97.24,72,96.78,75.8,111.35,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Bute Colliery at the right elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
