DYMOCK-BOYCE-COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SO701299,Long,-2.4366143,Lat,51.966765,Elevation,133,ft,,,,,,,,,,,,
Station no,RR7001,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,1.04,2.82,3.29,2.87,5.58,1.98,2.06,4.14,3.32,,,,,,
February,,,,,,3.24,2.26,1.61,1.38,2.6,2.27,1.19,3.07,1.3,,,,,,
March,,,,,,0.84,1.67,3.75,1.48,1.48,1.09,1.15,1.81,2.95,,,,,,
April,,,,,,0.92,1.75,1.58,2.4,0.87,0.45,2.91,2.48,0.55,,,,,,
May,,,,,1.15,2.83,0.9,2.8,2.13,4.84,1.16,0.9,1.18,1.95,,,,,,
June,,,,,1.13,1.42,2.36,0.8,0.36,1.12,0.65,3.24,3.63,3.02,,,,,,
July,,,,,0.66,2.5,1.11,2.47,0.73,0.27,1.77,3.73,4.96,2.07,,,,,,
August,,,,,0.6,3.27,3.13,1.48,3.97,0.94,1.33,1.94,1.32,3.05,,,,,,
September,,,,,2.29,0.02,5.56,2.41,3.49,5.87,1.37,6.04,1.66,1.32,,,,,,
October,,,,,2.01,3.7,2.6,2.81,1.53,2.14,3.52,1.86,3.74,1.94,,,,,,
November,,,,,1.71,3.07,1.29,1.26,1.92,2,2.51,0.67,4.94,1.5,,,,,,
December,,,,,2.52,1.46,1.3,1.2,4.95,4.07,1.7,1.81,3.99,0.45,,,,,,
Total,,,,,,24.31,26.75,25.46,27.21,31.78,19.8,27.5,36.92,23.42,,,,,,
