LOUGHGALL (THE MANOR FARM),,,,,,,,,,
Grid ref,IH907519,Long,-6.6037556,Lat,54.407731,Elevation,91,ft,,
Station no,6194/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.87,1.61,2.87
February,,,,,,,,3.45,0.84,2.38
March,,,,,,,,1.02,2.07,1.78
April,,,,,,,,1.1,2.45,1.98
May,,,,,,,2.5,2.22,1.37,3.45
June,,,,,,,1.13,4.99,1.92,2.12
July,,,,,,,3.67,5.47,3.14,3.62
August,,,,,,,4.76,3.54,0.97,4.11
September,,,,,,,3.2,3.23,1.32,2.8
October,,,,,,,3.26,2.94,3.53,5.06
November,,,,,,,0.94,1.64,2.51,3.05
December,,,,,,,4.44,4.51,3.74,2.99
Total,,,,,,,,36.98,25.47,36.21
,,,,,,,,,,
1957 Jan Apr Tot -100s transcribed therefore removed,,,,,,,,,,
1531,LOUGHGALL NO 1 ,01/01/1957,31/10/1995,,,,,,,
