BROAD-CHALKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU039253,Long,-1.945765,Lat,51.027055,Elevation,362,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1504/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,0.99,2.64,1.47,,3.44,2.93,3.33,3.76,1.14,0.83,4.38,2.1,1.91,2.18,3.35,3.27,0.94,3.06,0.62,,4.46,2.1,1.05,3.44,4.82,0.86,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,0.93,5.94,6.99,3.61,6.71,3.01,3.64,4.95,7.97,3.04,1.9,3.93,3.4,7.06,1.23,0.58,4.32,3.53,0.8,2.48,3.24,6.56,3.63,5.46,4.53,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,3.71,3.59,1.91,,2.63,3.66,0.7,0.62,1.41,2.11,1.03,0,1.81,3.55,2.39,0.11,0.2,4.33,2.86,,5.19,1.42,2.09,1.59,4.23,0.8,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,4.14,3.05,6.1,0.96,2.41,3.9,4.16,0.5,1.77,0.68,2.86,2.78,1.44,1.58,1.87,6.6,6.88,0.71,1.76,2.92,2.4,0.18,5.26,4.16,0.18,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,0.71,2.24,1.21,,2.15,1.56,2.2,1.79,3.54,2.75,1.18,3.05,0.9,0.65,1.56,2.26,3.36,5.77,0.83,,1.43,2.33,1.66,4.41,1.7,4.99,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,0.91,3.45,4.99,0.19,1.65,3.52,4.44,2.83,0.86,0.35,1.09,1.22,8.09,1.19,1.54,1.73,3.89,3.5,0.62,4.26,1.04,1.29,2.76,2.04,4.08,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.02,2.41,0.68,4.23,1.23,1.91,1.88,2.18,0.97,2.37,2.77,3.27,0.8,0.7,0.18,2.71,2.69,0.78,3.28,2.04,,1.66,2.68,1.73,3.15,1.29,1.95,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,4.22,2.43,2.54,0.02,2.47,1.46,2.08,2.81,0.85,1.96,1.04,3.09,2.77,1.48,2.05,2.59,4.13,2.14,2.29,0.2,0.52,1.88,0.28,0.8,3.11,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.72,0.61,1.25,2.78,2.01,1.22,3.49,4.79,1.8,1.92,1.57,2.25,2.97,1.17,1.27,1.55,0.32,0.26,2.4,6.06,,2.05,1.29,2.74,5.06,2.94,0.53,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.06,0.64,3.29,2.04,0.93,1.05,2.02,4.25,3.07,0.26,2.84,4.65,2.17,4.26,2.03,2.28,2.78,3.26,1.86,2.38,3.08,0.53,2.43,2.36,1.38,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.83,2.22,1.74,3.51,1.62,3.65,1.61,0.38,1.02,2.07,1.15,2.42,1.7,1.42,0.75,2.33,1.28,1.56,3.89,0.68,,2.72,1.6,3.99,4.01,0.83,3.67,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,4.18,1.55,0.94,1.21,2.63,0.58,1.56,0.42,1.37,1.87,3,3.7,1.81,2.98,0.6,1.17,0.45,1.23,2.33,3.63,2.17,2.92,2.52,4.68,1.09,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,4.58,4.13,2.04,3.77,3.53,2.46,0.14,1.93,0.79,4.78,2.41,3.16,2.75,2.07,4.44,4.88,3.81,0.85,1.86,0.37,,1.65,3.49,1.56,2.83,2.28,0.32,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.6,5.26,1.99,2.79,7.03,3.04,1.63,1.68,2.78,3.28,1.27,1.2,1.7,0.92,0.74,5.68,1.48,0.66,3.27,2.46,0.63,3.13,5.5,1.76,1.5,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,4.99,1.43,5.62,1.72,0.79,1.44,0.95,1.13,1.94,1.71,2.5,3.27,5.45,3.83,1.01,2.08,2.26,2.05,3.91,1.38,,2.89,3.05,4.22,4.79,3.28,3.65,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.32,0.28,1.23,2.5,2.41,0.16,4.52,4.02,2.31,2.35,1.83,5.23,0.77,4.3,2.61,5.69,5.92,4.03,3.34,3.48,0.28,5.98,3.32,3.95,1.4,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.86,2.99,2.1,2.9,3.21,1.31,4.85,2.2,1.89,1.36,1.56,1.94,1.17,2.24,2.11,2.39,1.3,7.43,2.71,,,0.84,3.61,1.18,2.81,2.36,1.34,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,4.56,3.64,3,2.05,0.94,1.65,0.7,2.11,2.8,2.39,2.67,6.34,1.28,2.64,2.82,3.98,3.16,3.82,2.96,3.1,1.17,4.25,3.97,4.5,0.15,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,1.47,5.99,1.67,7.97,2.71,0.38,4.06,5.17,1.83,1.96,4.04,0.98,7.89,5.05,4.53,3.4,4.31,3.47,2.08,,,2.83,2.28,2.52,8.2,2.79,2.14,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,5.11,2.35,5.72,3.47,4.46,5.38,1.09,4.81,4.39,5.19,4.48,1.39,0.68,2.3,7.17,1.11,0.96,5.11,3.84,3.88,3.41,2.78,3.11,3.54,3.25,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,0.38,2.81,4.43,,4.13,1.82,4.53,3.43,4.25,6.26,1.35,1.89,3.82,3.3,2.14,6.14,5.86,1.28,1.05,,,3.41,0.65,4.1,1.8,1.52,3.66,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,9.03,3.24,1.84,6.57,8.15,9.41,2.65,1.62,2.67,6.95,0.57,7.1,1.67,1.99,4.13,6.82,10.19,3.91,1.69,6.92,3.94,1.08,2.91,2.29,4.65,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,0.9,4.25,3.52,,1.18,3.38,1.86,6.63,2.46,2.67,2.03,1.65,5.54,1.27,4.25,2.65,1.85,7.38,6.74,,,5.92,5.79,2.01,2.97,3.37,0.81,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02,6.04,4.51,3.68,4.75,2.26,2.87,3.28,5.85,3.12,3.42,5.23,4.21,4.06,6.95,1.96,2.04,3.55,2.89,0.9,3.49,6.1,6.35,3.52,4.34,8.71,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,32.25,31.52,,,25.79,31.52,34.07,23.12,31.19,25.07,27.42,37.24,25.67,27.06,35.43,29.32,29.56,41.08,,,35.05,30.29,28.85,45.06,31.41,24.72,36.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.84,43.1,36.34,42.31,30.16,42.05,36.03,31.77,35.85,33.96,31.74,28.78,44.84,29.84,37.65,28.75,40.27,47.71,34.79,25.66,39.2,27.98,36.93,39.21,39.88,34.03,47.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Total adjusted for addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
