"BANSTEAD MENTAL HOSPITAL",,,,,,,,,,,,
Grid ref,TQ261611,Long,-0.191232,Lat,51.335018,,,,,,,
Station no,93,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.90,,,,1.96,3.49,1.23,1.85,2.01,2.17,,
February,7.47,,,,1.50,0.27,2.90,2.09,0.04,2.15,,
March,3.63,,,,1.02,0.75,0.95,1.64,2.23,2.14,,
April,3.84,,,,0.15,1.29,0.19,1.20,1.89,0.79,,
May,2.23,,,,3.12,0.31,1.44,2.72,1.30,1.96,,
June,1.22,,,,1.50,2.37,0.78,4.59,1.53,1.49,,
July,2.97,,,2.48,0.73,5.67,2.82,1.65,1.40,2.61,,
August,3.63,,,2.87,1.04,2.70,3.51,2.93,1.27,3.35,,
September,3.14,,,1.99,1.77,2.32,2.88,4.26,0.14,2.55,,
October,1.11,,,1.54,2.98,1.23,1.55,3.07,2.71,6.17,,
November,6.85,,,3.51,0.62,0.71,3.02,1.43,3.40,4.68,,
December,2.86,,,1.57,2.16,3.29,2.24,3.06,4.34,2.95,,
Total,41.85,,,,18.55,24.40,23.51,30.49,22.26,33.01,,
Calc annual,41.85,0.00,0.00,13.96,18.55,24.40,23.51,30.49,22.26,33.01,,
Difference,0.00,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,,
