SANDWICK MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HY251172,Long,-3.306,Lat,59.036,Elevation,78,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,5,3.28,6.25,4.42,2.97,4.38,1.51,2.8,7.54,3.81,4.29,5.23,5.12,4.72,3.26,2.33,5.45,3.78,5.46,3,2.12,4.02,5.16,1.37,4.08,4.33,4.06,4.5,3.83,2.31,1.65,4.44,3.52,3.98,5.02,2.92,3.43,3.76,2.36,2.4,2.57,3.15,3.09,5.33,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.93,2.2,1.32,3.22,2.56,3.34,3.48,5.57,4.92,4.98,3.5,3.81,2.5,4.1,1.32,2.42,2.96,0.74,4.2,1.81,1.43,1.42,3.06,3.78,3.4,5.63,4.03,5.81,4.04,2.92,4.4,2.16,1.54,1.39,1.99,3.58,4.33,1.98,1.25,3.91,5.3,3.2,3.46,1.34,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.54,3.98,2.46,3.68,3.17,3.47,1.56,2.79,2.71,2.43,2.36,0.78,1.79,1.65,3.58,0.34,4.12,2.71,5.41,3.4,4.71,1.85,2.6,2.69,4.74,3.08,2.08,4.27,2.85,1.25,2.3,2.04,2.2,3.46,0.83,4.28,2.81,4.03,3.23,2.91,3.43,5.81,2.56,3.63,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.97,0.51,4.05,1.28,0.94,1.95,3.32,1.15,1.91,2.2,1.52,0.11,3.3,1.42,2.89,0.34,1.37,0.86,4.33,1.23,1.02,2.27,3.24,1.23,1.47,1.21,4.2,3.31,3.75,2.77,1.74,2.4,1.44,2.1,2.61,2.23,1.44,0.24,1.7,1.72,1.53,1.9,1.75,0.76,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,3.52,0.98,2.31,1.6,1.02,1.88,2.28,1.78,0.78,1.84,1.77,1.42,0.71,1.61,1.38,0.89,0.89,2.43,0.38,2.28,2.02,2.86,2.61,1.88,1.9,2.15,1.11,1.51,1.03,1.67,1.12,1.69,1.71,1.51,1.51,1.32,2.73,2.91,2.5,1.66,1.56,1.37,2.94,2.08,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.32,1.64,2.34,1.04,2.32,2.4,1.6,2.72,2.67,2.33,1.99,2.86,3.05,2.13,1.85,2.64,2.36,0.56,2.24,2.41,1.69,0.78,2.33,1.09,1.9,1.42,1.87,1.79,2.8,1.97,1.7,0.33,3.52,1.82,1.67,1.45,1.45,3.38,1.25,1.38,2.3,2.51,3.43,0.98,1.59,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.42,3.16,1.88,2.92,1.17,1.69,2.13,2.56,3.37,3.72,1.16,3.32,2.58,1.57,2.52,2.97,3.36,2.77,4.05,2.81,1,3.4,2.52,1.21,1.63,1.55,1.64,1.56,1.35,3.2,1.33,2.85,2.6,2.39,2.75,2.94,3.15,2.85,2.52,3.17,3.55,4.47,2.44,1.85,2.54,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.24,3.31,4.69,1.84,2.86,4.13,2.91,3.2,2.04,3.33,4.61,2.23,0.62,2.83,2.4,3.98,1.4,2.75,2.64,2.27,4.88,6.75,2.25,3.09,2.6,2.66,3.24,1.72,5.32,2.37,1.11,2.93,3.4,4.06,5,2.68,2.56,2.5,1.4,3.39,1,3.42,2.59,3.15,2.81,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,5.15,3.09,3.13,2,1.99,2.82,0.6,6.05,1.56,1.76,4.05,0.91,2.64,3.54,4.18,1.74,3.18,2.75,2.8,2.85,4.65,2.97,3.01,5.38,3.69,2.28,2.65,5.38,1.41,6.6,3.3,2.85,3.5,3.51,4.86,2.86,3.18,1.63,5.9,3.29,4.16,0.77,3.04,3.67,1.69,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.26,4.88,5.68,6.38,4.52,7.82,3.55,4.7,3.97,2.85,7.32,3.96,4.12,5.94,5.21,5.28,1.01,2.81,5.89,6.26,5.49,6.01,5.69,3.84,3.66,4.85,2.75,6.66,5.34,3.33,3.17,3.98,4.72,6.56,4.1,3.76,3.8,4.57,4.87,3.4,4.28,3.44,3.1,4.03,5.4,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
