WHALEY-BRIDGE-TAXAL-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK005801,Long,-1.9939562,Lat,53.31783,Elevation,700,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/6/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,7.1,4.79,2.79,3.68,3.55,3.66,4.2,4.78,5.09,2.9,1.52,3.47,4.75,5.76,3.25,,,,,
February,,,,,,,,,,,0.56,4.95,0.31,5.02,0.24,5.54,2.38,6.1,1.74,2.88,2.19,4.56,1.4,3.17,1.61,3.09,,,,,
March,,,,,,,,,,,3.5,0.44,3.15,2.92,3.22,1.58,2.85,2.77,1.56,2.64,2.67,3.37,2.2,1.04,0.72,1.65,,,,,
April,,,,,,,,,,,2.59,5.62,4.71,1.98,2.4,2.98,1.25,4.49,0.41,2.45,2.64,2.59,1.83,1.82,2.76,2.19,,,,,
May,,,,,,,,,,,2.76,2.33,4.8,2.58,3.21,0.64,0.33,2.01,4.05,1.5,1.38,2.54,4.33,3.28,3.73,3,,,,,
June,,,,,,,,,,,2.61,5.06,0.74,4.19,3.36,4.05,3.23,0.26,4.37,2.66,1.4,2.24,0.79,3.05,3.45,3.7,,,,,
July,,,,,,,,,,,7.86,4.38,5.65,3.4,2.37,1.13,5.09,3.95,4.97,6.17,3.85,3.15,4.66,1.29,3.61,1.89,,,,,
August,,,,,,,,,,,5.57,5.92,1.53,1.48,3.03,2.01,1.82,1.55,2.16,1.63,2.1,6.99,4.36,3.85,3.17,2.67,,,,,
September,,,,,,,,,,,4.14,4.38,3.34,0.66,3.23,5.73,4.42,1.2,2.22,1.09,3.27,0.76,2.67,4.41,4.46,1.73,,,,,
October,,,,,,,,,,,5.72,1.55,7.52,5.74,5.81,7.48,5.28,2.17,6.31,2.39,3.86,4.32,6.31,2.84,4.73,5.47,,,,,
November,,,,,,,,,,,3.8,5.17,3.52,1.73,1.66,5.37,5.13,0.98,5.18,6.08,7.47,3.63,0.89,3.08,6.41,0.59,,,,,
December,,,,,,,,,,,4.35,1.95,1.43,0.38,5.72,4.62,4.43,3.15,5.37,2.35,4.3,2.47,3.63,2.16,3.12,2.54,,,,,
Total,,,,,,,,,,,,48.85,41.49,32.87,37.93,44.68,39.87,32.83,43.12,36.93,38.03,38.14,36.54,34.74,43.53,31.77,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is Taxal Lodge. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge was in Cheshire before boundary change, Station No was 2730 and changed in 1937.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No suggestion that the gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
