BROOKWOOD-SHEETS-HEATH,,,,,,,,,,,,,,,,,,,,
Grid ref,SU951575,Long,-0.63703,Lat,51.3089,Elevation,200,ft,,,,,,,,,,,,
Station no,220/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.66,2.04,0.84,5.05,4.58,2.16,4.48,2.87,2.25,2.8,5.28,1.67,1.15,,,,,
February,,,3.82,0.08,3.31,2.2,4.21,0.93,1.08,2.69,2.31,0.8,1.21,0.79,1.6,,,,,
March,,,2.8,2.5,0.23,1.17,5.27,0.24,1.46,3.07,3.46,1.85,0.57,0.09,0.48,,,,,
April,,,0.91,2.55,3.57,1.7,2.26,0.11,2.57,1.81,0.91,1.26,1.11,1.06,1.18,,,,,
May,,,5.05,0.76,1.26,0.71,2.4,1.37,1.44,1.42,2.54,3.08,2.56,1.05,1.51,,,,,
June,,,1.17,0.97,3.31,3.45,1.86,0.64,1.22,0.86,2.15,0.58,1.48,1.92,2.51,,,,,
July,,,1.55,2.94,1.39,3.58,0.61,1.18,2.78,2.46,3.12,1.61,1.72,1.53,4.82,,,,,
August,,,0.6,2.84,,1.42,1.21,1.54,1.96,0.14,5.44,2.57,,,0.22,,,,,
September,,2.11,2.51,0.54,,2.51,2.2,1.41,1.13,1.61,0.2,1.26,1.61,2,3.07,,,,,
October,,4.64,1.76,1.81,2.69,1.28,2.32,2.7,4.51,2.69,1.34,3.4,2.9,3.18,3.68,,,,,
November,,1.14,0.97,2.3,4.91,3.84,1.61,3.32,4.85,6.66,3.05,1.93,1.11,4.02,0.23,,,,,
December,,0.96,0.52,6.26,2.87,2.21,4.17,3.39,1.41,1.32,1.48,3.38,1.4,1.74,3.19,,,,,
Total,,,23.32,25.59,,29.12,32.7,18.99,28.89,27.6,28.25,24.52,,,23.64,,,,,
,,,,,,,,,,,,,,,,,,,,
House called The Ridgeway in road called The Ridgeway Sheets Heath,,,,,,,,,,,,,,,,,,,,
1935 Aug Sept Adjusted from surrounding stations,,,,,,,,,,,,,,,,,,,,
1943 Aug Part estimated,,,,,,,,,,,,,,,,,,,,
1944 Aug Part estimated,,,,,,,,,,,,,,,,,,,,
1946 Lost in post,,,,,,,,,,,,,,,,,,,,
