"AUCHENDORES RESERVOIR, PORT GLASGOW W.W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS3572572350,Long,-4.63012,Lat,55.916108,Elevation,321,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,8.99,8.23,4.7,4.91,3.74,4.52,4.75,8.42,2.89,3.86,2.33,8.54,1.58,3.2,1.75,,,,,,,,2.95,7.69,3.55,6.02,5.53,5.63,,,,,,,,,
February,,,,7.43,8.53,6.29,1.99,4.47,0.89,2.9,0.74,1.68,1.44,3.7,12.45,0.65,2.59,4.3,,,,,,,,4.68,4.88,3.43,3.02,2.23,5.77,,,,,,,,,
March,,,,3.05,4.73,2.93,5.06,1.91,3.64,1.71,3.25,3.66,1.1,2.58,5.43,2.89,6.77,6.57,,,,,,,,4.4,4.98,4.4,4.81,1.59,3.41,,,,,,,,,
April,,,,2.27,1.17,2.96,3.06,3.28,2.27,2.26,2.08,1.61,1.33,1.85,3.07,3.06,2.15,3.3,,,,,,,,2.69,1.07,2.7,2.44,5.15,2.6,,,,,,,,,
May,,,,2.66,5.3,3.77,3.01,1.07,4.82,3.49,2.45,2.21,4.57,2.65,3.13,0.22,0.77,2.9,,,,,,,,1.62,6.21,4.75,1.93,2.65,2.17,,,,,,,,,
June,,,,3.69,2.02,1.23,1.66,1.18,2.99,1.36,4.48,1.18,2.47,1.17,3.04,1.67,3.92,6.93,,,,,,,,0.58,1.35,4.74,2.38,2.68,1.78,,,,,,,,,
July,,,,3.1,5.38,2.14,3.71,2.75,5.89,2.55,3.59,0.89,2.25,4.03,2.36,5.25,4.72,2.27,,,,,,,,2.75,2.78,2.46,3.33,3.27,5.01,,,,,,,,,
August,,,,5.29,2.81,3.33,2.7,2.92,3.3,5.5,3,4.23,7.49,3.49,5.21,6.6,2.3,4.72,,,,,,,,4.85,5.25,5.9,3.66,3.12,10.21,,,,,,,,,
September,,,,3.13,3.6,7.09,6.53,5.42,1.51,2.17,2.1,6.4,5.82,3.69,3.23,1.81,5.45,7.28,,,,,,,,2.82,1.93,1.4,6.3,1.92,1.91,,,,,,,,,
October,,,,6.83,4.96,5.05,4.49,1.14,3.04,3.49,4.66,5.16,3.95,7.24,2.94,3.76,4.76,4.42,,,,,,,,3.65,6.9,5.34,1.58,7.94,1.78,,,,,,,,,
November,,,,8.12,5.12,2.98,5.44,4.3,7.39,2.53,9.61,6.16,6.17,5.78,4.74,7.15,1.63,3.67,,,,,,,,6.68,4.95,3.78,4.41,2.55,5.43,,,,,,,,,
December,,,,6.09,9.14,2.26,4.2,4.85,5.16,4.18,1.32,9.49,2.2,6.38,4.86,6.41,6.66,6.78,,,,,,,,4.4,4.3,6.9,5.49,8,5.01,,,,,,,,,
Total,,,,60.65,60.99,44.73,46.76,37.03,45.42,36.89,45.7,45.56,42.65,44.89,59,41.05,44.92,54.89,,,,,,,,42.07,52.29,49.35,45.37,46.63,50.71,,,,,,,,,
