"AUCHENDORES RESERVOIR, PORT GLASGOW W.W.",,,,,,,,,,,,
Grid ref,NS3572572350,Long,-4.630120,Lat,55.916108,,,,,,,
Station no,RR2796,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.95,7.69,3.55,6.02,5.53,,
February,,,,,,4.68,4.88,3.43,3.02,2.23,,
March,,,,,,4.40,4.98,4.40,4.81,1.59,,
April,,,,,,2.69,1.07,2.70,2.44,5.15,,
May,,,,,,1.62,6.21,4.75,1.93,2.65,,
June,,,,,,0.58,1.35,4.74,2.38,2.68,,
July,,,,,,2.75,2.78,2.46,3.33,3.27,,
August,,,,,,4.85,5.25,5.90,3.66,3.12,,
September,,,,,,2.82,1.93,1.40,6.30,1.92,,
October,,,,,,3.65,6.90,5.34,1.58,7.94,,
November,,,,,,6.68,4.95,3.78,4.41,2.55,,
December,,,,,,4.40,4.30,6.90,5.49,8.00,,
Total,,,,,,42.07,52.29,49.35,45.37,46.63,,
Calc annual,0.00,0.00,0.00,0.00,0.00,42.07,52.29,49.35,45.37,46.63,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
