CALDER ABBEY,,,,,,,,,,,,,,,,,,,,
Grid ref,NY050063,Long,-3.466406,Lat,54.443192,Elevation,230,ft,,,,,,,,,,,,
Station no,RR7605,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.94,2.39,3.98,2.05,4.31,,,,,,,,,
February,,,,,,,3.29,2.04,2.74,2.91,5.86,,,,,,,,,
March,,,,,,,2.04,4.44,4.32,3.85,3.18,,,,,,,,,
April,,,,,,,1.75,3.86,2.53,3.91,2.85,,,,,,,,,
May,,,,,,,6.48,5.31,3.47,2.9,2.85,,,,,,,,,
June,,,,,,,1.5,7.54,2.87,2.75,1.92,,,,,,,,,
July,,,,,,,2.67,2.89,4.62,6.7,5.17,,,,,,,,,
August,,,,,,,6.18,5.89,4.03,3.87,6.34,,,,,,,,,
September,,,,,,,1.54,0.84,5.43,3.41,1.1,,,,,,,,,
October,,,,,,,6.3,8.88,2.42,9.55,2.21,,,,,,,,,
November,,,,,,,3.94,5.11,3.86,1.67,5.94,,,,,,,,,
December,,,,,,,3.25,7.4,4.5,8.11,5.51,,,,,,,,,
Total,,,,,,,43.88,56.59,44.77,51.68,47.24,,,,,,,,,
