BONCATH FFYNONE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6438,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,7.25,3.79,6.77,5.46,8.42,,,,,
February,,,6.00,11.17,0.85,10.15,4.17,,,,,
March,,,5.43,2.57,2.20,2.14,0.83,,,,,
April,,,4.47,3.16,4.80,3.16,2.87,,,,,
May,,,1.72,2.70,5.05,5.19,1.94,,,,,
June,,,2.21,1.46,3.98,0.02,2.22,,,,,
July,,,6.60,2.29,6.26,3.99,3.66,,,,,
August,,,4.05,4.66,3.66,5.53,4.84,,,,,
September,,,4.26,4.61,6.39,4.06,1.49,,,,,
October,,,1.92,9.10,6.38,7.92,3.76,,,,,
November,,,3.59,6.02,2.71,5.31,12.96,,,,,
December,,,7.89,4.69,11.42,4.56,1.15,,,,,
Total,,,55.39,56.22,60.47,57.49,48.31,,,,,
Calc annual,0.00,0.00,55.39,56.22,60.47,57.49,48.31,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,
