TIVERTON-HALBERTON-(OVEROCK),,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST016131,Long,-3.3998,Lat,50.9098,Elevation,300,ft,,,,,,,,,,,,,,
Station no,1790/5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.21,4.46,5.01,7.72,2.96,2.97,3.74,4.25,7.11,0.88,0.85,3.65,3.91,0.58,1.93,4.74,4.03,2.49,3.15,5.38,3.67
February,,4.27,4.76,0.42,1.14,0.88,2.94,3.35,1.06,1.66,1.51,6.06,4.74,0.91,2.25,3.54,2.56,0.29,5.43,3.59,0.3,3.46
March,,3.49,4.64,3.4,1.17,0.12,0.66,1.2,6.17,1.06,1.62,1.45,3.83,3.35,1.44,3.61,1.58,1.08,2.96,1.22,4.84,2.19
April,,3.75,,1.63,0.7,2.46,0.75,2.55,2.12,2.63,1.59,2.16,2.01,3.36,3.18,0.29,1.22,1.09,0.04,0.74,2.61,2.89
May,,1.74,2.28,5.25,2.42,1.05,4,4.32,3.24,3.77,2.06,1.82,2.8,2.8,2.4,2.32,3.28,0.46,1.74,3.15,1.33,1.67
June,,1.28,1.55,0.77,2.48,2.36,2.98,3.17,3.01,1.82,0.95,1.13,1.19,1.5,2.88,3.48,4.07,1.46,2.43,,1.28,1.19
July,,3.99,1.92,1.55,2.54,2.75,2.3,1.46,1.82,1.75,1.66,5.18,2.29,1.36,2.84,3.01,3.53,2.9,3.12,,2.97,4.24
August,,0.21,5.24,3.75,3.3,2.8,1.8,5.46,0.82,3.96,2.64,5.32,4.66,4.84,2.26,2.41,0.51,2.45,1.99,4.12,2.55,3.75
September,,2.11,0.79,2.61,3.48,2.61,3,4.47,1.95,1.72,4.34,4.74,3.24,2.88,3.72,3.87,1.63,5.88,4.03,5,0.16,4.52
October,4.54,4.18,2.18,2.48,4.25,5.46,4.28,1.24,0.79,3.43,6.18,1.81,1.58,4.31,2.75,2.76,1.56,2.16,2.59,4.06,3.59,11.79
November,9.47,8.94,3.09,1.03,3.22,6.7,1.54,5.44,2.45,2.08,4.94,7.59,6.9,3.57,2.44,7.05,4.03,1.21,2.3,2.82,6.58,3.95
December,2.73,3.56,2.58,5,3.76,3.67,5.67,4.52,3.27,5.66,2.39,3.94,3.08,3.75,0.91,3.89,5.88,4.51,3.19,4.17,8.47,4.62
Total,,40.73,,32.9,36.18,33.82,32.89,40.92,30.95,36.65,30.76,42.05,39.97,36.54,27.65,38.16,34.59,27.52,32.31,,40.06,47.94
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1939 gauge moved 1 mile E from Alstree House,,,,,,,,,,,,,,,,,,,,,,
"Overock House just north of Rock House, Haliburton",,,,,,,,,,,,,,,,,,,,,,
Altitude of 300ft is a little low for this area. Nearer 335ft,,,,,,,,,,,,,,,,,,,,,,
1940 not printed high,,,,,,,,,,,,,,,,,,,,,,
1941 Apr 4th corrected by ref to nearby stations,,,,,,,,,,,,,,,,,,,,,,
1956 Not printed low. Perhaps windswept,,,,,,,,,,,,,,,,,,,,,,
1957 Not printed low,,,,,,,,,,,,,,,,,,,,,,
1958 June July part estimated,,,,,,,,,,,,,,,,,,,,,,
1959 Not printed,,,,,,,,,,,,,,,,,,,,,,
