COURTEENHALL-GRANGE,,,,,,,,,,
Grid ref,SP760551,Long,-0.88969113,Lat,52.188916,Elevation,280,ft,,
Station no,RR8242,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.16,0.67,2.36,0.99,1.55,,
February,,,,0.72,1.25,2.36,2.78,0.85,,
March,,,,3.04,2.44,0.93,4.77,1.3,,
April,,,,2.33,0.62,0.7,1.16,1.31,,
May,,,,1.93,0.9,2.07,1.53,1.96,,
June,,,,0.46,2.24,0.34,1.7,2.29,,
July,,,,1.26,2.2,3.77,2.03,2.77,,
August,,,,0.56,1.56,1.86,2.01,6.55,,
September,,,,2.08,0.89,1.7,0.74,1.83,,
October,,,,4.24,1.93,1.57,2.08,2.83,,
November,,,1.66,2.15,2.17,2.39,3.56,0.82,,
December,,,3.13,0.76,4.74,3.67,2,0.72,,
Total,,,,22.69,21.61,23.72,25.35,24.78,,
