BECKENMET (BANKFIELD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY016067,Long,-3.518947,Lat,54.446138,Elevation,132,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3653/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.65,4.08,3.39,0.58,3.32,5.19,4.19,3.3,4.72,,6.66,3.17,1.85,4.52,2.65,2.93,,,,,,,
February,,,,,,,,1.52,3.47,0.97,3.05,1.45,3.17,1.71,3.45,2.92,,1.92,2.14,3.95,2.95,1,1.69,,,,,,,
March,,,,,,,,1.94,3,4.9,2.25,2.67,0.93,0.48,2.43,1.9,,2.34,2.21,4.3,4.07,2.31,0.39,,,,,,,
April,,,,,,,,0.37,2.06,1.57,1.85,1.57,2.28,2.28,2.75,1.38,,1.83,3.05,3.81,1.54,2.65,2,,,,,,,
May,,,,,,,,4.44,0.33,1.5,3.63,3,3.65,1.98,4.07,1.44,4.06,1.21,2.3,1.3,1.33,2.52,2.05,,,,,,,
June,,,,,,,2.03,4.49,3.23,0.75,0.92,0.69,2.83,2.39,4.06,2.93,2.33,4.66,0.07,3.16,1.31,2.96,1.35,,,,,,,
July,,,,,,,4.11,5.67,3.51,4,2.14,3.86,2.66,3.14,2.79,4.94,3.02,2.2,3.3,4.15,3.26,2.65,4.55,,,,,,,
August,,,,,,,3.37,2.55,1.59,1.4,4.93,4.87,6.8,3.95,1.12,5.47,0.08,3.8,2.95,5.26,6.22,3.66,4.6,,,,,,,
September,,,,,,,3.28,2.33,2.16,3.93,2.16,3.81,4.54,3.54,4.5,6.2,2.5,5.57,2.3,8.97,5.7,3.11,5.21,,,,,,,
October,,,,,,,3.43,9.05,1.49,4.37,5.56,4.28,7.4,3.92,4.02,0.34,0.56,3.82,5.22,2.77,1.17,3.05,1.89,,,,,,,
November,,,,,,,1.2,6.87,4.31,4.19,2.47,1.23,2.85,7.28,0.29,6.1,4.8,4.28,4.62,4.41,6.95,1.63,6.4,,,,,,,
December,,,,,,,2.64,3.87,1.87,4.35,1.97,4.89,1.9,3.78,2.19,4.68,1.49,4.02,5.58,2.53,5.79,4.95,2.5,,,,,,,
Total,,,,,,,,46.75,31.1,35.32,31.51,35.64,44.2,38.64,34.97,43.02,,42.31,36.91,46.46,44.81,33.14,35.56,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan-Apr inclusive and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
