CHERTSEY-LYNE-FARM-SW,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ014675,Long,-0.54323,Lat,51.39808,Elevation,93,ft,,,,,,,,,,,,
Station no,243/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.06,0.6,2.98,2.09,0.79,0.89,2.32,3.51,1.52,2.4,2.11,2.26
February,,,,,,,,,1.05,3.83,5.53,0.74,1.16,2.28,1.14,0.14,2.89,2.25,0.08,1.91
March,,,,,,,,,1.09,0.76,3.18,2.49,0.36,2.07,0.85,0.46,1.21,1.3,1.94,1.07
April,,,,,,,,,1.81,2.62,2.32,1.36,2.39,0.31,0.26,1.13,0.2,0.97,2.09,0.57
May,,,,,,,,,1.72,1.41,2.31,1.91,1.42,3.07,3.71,0.19,1.04,2.54,0.51,1.68
June,,,,,,,,,0.32,1.03,0.88,1.85,1.15,3.99,2.47,1.85,0.99,4.02,1.04,2.01
July,,,,,,,,,1.24,4.18,1.06,0.48,3.05,2.17,0.24,3.63,3.16,1.69,1.98,2.37
August,,,,,,,,,1.41,3.04,3.07,3.72,1.66,3.75,1.06,3.79,4.78,3.71,1.82,2.42
September,,,,,,,,,1.39,3.08,2.23,3.59,1.82,1.98,1.46,2.79,2.69,3.82,0.12,2.46
October,,,,,,,,,5.56,0.36,0.69,2.98,3.09,2.41,3.58,2.55,1.7,2.45,2.43,6.66
November,,,,,,,,,2.21,4.8,6.16,2.68,1.27,4.16,1.28,0.43,2.64,2.09,2.4,3.76
December,,,,,,,,,1.63,1.7,1.56,2.45,0.65,2.14,2.12,2.94,1.61,3.07,3.59,2.42
Total,,,,,,,,,20.49,27.41,31.97,26.34,18.81,29.22,20.49,23.41,24.43,30.31,20.11,29.59
,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown NGR taken from MIDAS,,,,,,,,,,,,,,,,,,,,
1954 Nov 25th Inspection Gauge sound. Site o/e NW-NNE. No other site available,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SRC_ID 6323,,,,,,,,,,,,,,,,,,,,
Station still in use 2021,,,,,,,,,,,,,,,,,,,,
