RICHMOND (Yorkshire) - EARLY,,,,,,,,,,
Grid ref,NZ170007,Long,-1.740,Lat,54.401,Elevation,450,ft,,
Station no,RR2385,,,,,,,,,
,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,,,0.14,1.64,1.13,3.77,
February,,,,3.17,1.58,1.99,0.20,1.51,3.36,
March,,,,,,2.35,0.89,1.01,3.81,
April,,,,,1.89,1.19,1.63,0.15,3.41,
May,,,,,0.73,1.35,1.29,2.19,2.41,
June,,,,,0.51,1.75,1.22,2.04,0.53,
July,,,,,0.98,1.21,3.90,3.19,1.92,
August,,,,,2.15,1.94,1.33,3.78,0.53,
September,,,,,0.55,1.71,1.75,1.25,1.88,
October,,,,,2.58,2.94,2.10,1.40,1.44,
November,,,,,0.88,1.14,1.19,1.73,,
December,,,,1.27,2.63,2.15,2.42,1.86,,
Total,,,,,,19.86,19.56,21.24,,
,,,,,,,,,,
TYRain_1677-1886_B_pt2/079,,,,,,,,,,
,,,,,,,,,,
# No detailed location information on the sheet. Grid reference provided is central Richmond.,,,,,,,,,,
