BANCHORY HIRN,,,,,,,,,,,,,,,,,,,,
Grid ref,NO729996,Long,-2.449,Lat,57.087,Elevation,287,ft,,,,,,,,,,,,
Station no,5624,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.4,4.09,1.88,0.68,2.04,1.55,1.72,1.54,1.33,1.33,5.45,4.96,1.18,2.84,0.91,2.36,2.54,3.95
February,,,1.22,3.05,4.7,1.85,2.05,2,1.26,0.98,2.77,0.94,2.53,0.79,2.48,5.02,2.32,0.85,1.18,1.94
March,,,1.25,2.14,2.49,3.03,2.04,1.1,4.63,6.32,1.49,2.16,2.12,3.87,3.27,1.96,3.03,2.07,1.53,2.29
April,,,2.91,2.8,1.28,2.38,2.26,2.08,2.77,3.03,3.54,1.49,0.56,2.44,0.58,0.84,2.95,1.45,0.41,3.64
May,,,4.5,2.42,2.77,1.12,6.04,4.72,1.61,2.81,2.77,2.03,2.28,4.46,2.34,1.05,3.74,1.61,2.27,1.16
June,,,1.89,1.77,0.89,0.52,0.65,4.48,1.38,1.66,0.7,1.96,2.62,1.43,0.56,0.89,4.12,1.62,1.5,1.12
July,,,3.44,5.19,1.77,2.41,1.63,1.69,2.44,5.38,2.64,2.22,1.5,1.14,2.85,4.82,4.36,2.03,4.61,0.62
August,,,2.6,4.69,3.3,3.34,3.53,2.31,2.47,2.24,4.46,1.35,5.27,1.46,1.52,1.64,3.82,4.64,2.85,2.17
September,,,1.34,2.73,1.97,2.26,0.68,1.24,4.15,1.49,0.6,1.74,2.59,3.29,1.27,3.35,1.52,1.56,4.35,2.32
October,,,1.85,5.22,0.71,4.23,5.52,6.13,2.31,2.57,2.75,2.26,5.05,1.14,3.45,6.03,5.45,3.64,2.81,3.18
November,,,4,3.09,1.64,8.03,5.34,2.37,1.1,1.79,5.93,4.96,2.81,1.12,3.79,3.24,4.28,3.92,1.72,5.64
December,,,5.1,3.39,2.43,0.76,3.93,3.29,3.61,3.79,4.05,6.31,0.71,2.06,6.39,8.5,4.74,1.13,1.71,3.98
Total,,,31.5,40.58,25.83,30.61,35.71,32.96,29.45,33.6,33.03,28.75,33.49,28.16,29.68,40.18,41.24,26.88,27.48,32.01
