BANCHORY INVERCANNIE RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO664965,Long,-2.555604,Lat,57.059219,Elevation,205,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.29,0.62,0.66,3.25,0.61,2.39,1.35,2.19,3.58,0.35,1.76,0.43,4.18,4.13,3.1,1.59,3.69,1.8,0.66,3.03,1.98,2.17,1.55,1.92,1.41,6.61,5.09,1.28,2.73,0.8,2.54,2.72,3.56,2.43,1.55,6.78,1.84,1.94,2.13,4.61,2.29,4.67,1.64,2.52,3.16,2.29,1.94,1.32,1.65,5.45,8.91,3.53,4.07,1.49,4.6,5.1,3.41,1.69,4.82,1.62,5.24,4.01,1.26,1.91,3.87,1.82,1.21,1.33,1.26,3.9,2.61,2.68,1.97,4.32,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.01,1.65,1.38,1.41,0.22,2.68,2.92,1.51,1.5,0.26,0.46,0.61,2.06,6.96,3.24,1.43,4.03,5.57,2.11,2.77,1.54,1.2,0.99,3.79,1.04,2.93,0.89,3.09,6.69,2.95,0.96,2.04,1.87,1.18,0.61,3.34,9.56,1.98,5.56,3.65,1.3,0.66,2.21,1.9,1.29,0.27,2.1,0.44,1.95,4.4,2.87,1.02,3.08,1.56,4.17,2.25,1.26,1.51,1.32,1.59,4.39,1.5,1.25,2.91,4.09,1.2,1.18,3.67,3.42,1.96,2.64,3.37,0.23,3.54,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.46,2.47,0.67,1.52,0.85,1.5,0.2,0.12,2.63,1.34,4.09,1.75,2.79,3.66,3.38,1.07,2.5,2.35,4.2,1.67,1.13,4.76,7.93,1.55,2.49,2.41,4.68,3.57,2.22,3.83,2.72,1.6,2.52,3.27,1.76,2.07,1.18,1.18,2.13,0.73,2.38,3.95,0.22,1.44,1.71,2.43,0.86,2.99,2.68,1.78,3.97,0.4,2.79,2.82,2.13,1.21,0.59,0.83,0.46,2.42,4.63,1.08,1.98,1.92,2.42,3.31,0.29,2.97,1.57,1.51,2.31,3.72,1.26,2.11,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.54,1.52,3.18,0.79,0.37,0.77,0.34,0.57,0.17,0.89,1.62,6.25,4.44,2.25,2.41,3.96,2.41,1.8,2.66,2.01,2.39,2.32,2.97,4.13,1.94,0.51,2.61,0.53,1.13,3.33,1.36,0.58,4.36,2.41,1.43,2.58,2.22,1.72,2.83,2.74,1.53,1.61,1.69,2.63,1.48,2.29,1.23,7.11,4.99,0.84,1.42,0.66,0.86,1.72,2.49,2.02,1.44,1.85,1.4,0.38,2.74,1.02,0.98,1.54,2.63,1.22,3.75,0.89,0.45,1.33,1.17,1.82,1.94,1.56,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.04,1.45,0.98,2.16,2.37,1.56,0.75,4.5,0.28,0.93,1.69,2.92,3.96,1.94,2.31,4.17,2.4,3.11,1.46,5.26,5.22,1.68,2.84,2.34,2.1,2.75,4.59,2.52,0.8,3.82,2.16,2.18,1.3,3.46,1.79,0.71,4.05,5.04,3.35,2.38,2.05,1.54,1.53,1.06,3.08,2.83,0.71,3.32,1.81,1.25,2.09,2.59,1.28,1.87,1.89,3.05,4.15,3.02,4.08,2.57,4.11,3.45,1.8,1.51,1.37,1.82,1.28,4.32,2.03,0.36,2.48,2.55,1.55,0.81,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.95,1.89,1.58,0.98,0.44,2.51,2.64,1.14,2.6,2.85,3.81,1.44,2.02,1.79,2.29,2.67,1.29,1.08,0.6,0.97,5.04,1.05,1.64,1.1,2.01,2.68,1.83,0.88,1.22,3.94,1.96,1.48,1.26,0.61,0.98,2.17,0.62,1.91,0.69,3.17,3.41,2.55,1.95,1.97,3.19,0.72,0.74,1.02,3.45,1.8,1.01,3.3,1.4,0.52,0.92,1.07,1.01,2.34,2.25,4.04,1.29,4.52,1.51,1.14,1.02,2.08,3.58,1.56,1.35,1.83,2.27,2.3,2.62,1.17,,,,,,,,,,,,,,,,,,,
July,,,,,,,,1.87,3.97,1.82,2.47,3.47,1.55,2.51,3.87,2.99,4.34,1.23,0.77,3.13,5.05,2.36,3.96,4.83,1.67,2.38,2.2,1.86,2.41,5.25,1.93,2.22,1.58,1.63,2.75,4.92,6.46,1,4.96,0.3,3.57,1.4,3.45,3.1,5.82,3.07,1.73,1.4,1.79,4.6,2.13,3.79,3.49,2.74,3.01,1.66,4.34,4.4,4.48,4.56,7.62,2.73,2.83,0.93,2.77,3.18,4.84,2.45,2.54,3.19,4.27,4.91,1.4,3.27,2.81,0.59,4.14,6.59,6.94,1.86,3.4,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.7,2.06,5.04,3.63,5.19,2.87,1.7,4.69,4.38,1.48,3.6,3.27,0.92,4.92,2.54,3.55,3.69,3.72,4.56,3.61,2.9,2.44,2.35,4.73,1.65,6.43,2.58,1.33,2.76,4.3,5.69,1.95,2.09,3.81,2.17,1.93,4.59,3.48,1.23,1.61,2.92,3.6,2.37,5.75,3.15,0.92,1.12,4.46,1.9,1.61,2.94,1.27,1.77,1.4,4.68,2.53,3.91,1.2,4.66,3.11,0.12,6.83,3.68,2.74,3.09,3.65,1.69,2.88,0.51,3.93,5.63,5.27,0.49,6.17,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.02,0.44,0.64,0.95,3.58,1.75,3.31,0.29,0.82,4.07,1.59,2.67,3.7,2.14,2.18,2.06,2.65,2.36,1.87,1.02,1.15,3.73,1.53,0.92,0.69,3.38,3.65,1.42,2.84,1.43,2.15,3.67,1.84,2.89,0.81,2.67,2.65,4.67,2.49,4.17,5.2,2.52,0.96,5.98,1.15,1.93,1.69,2.08,3.5,1.97,1.02,3.83,2.03,2.03,0.77,3.43,2.89,2.67,2.92,4.21,2.16,1.9,1.52,6.32,1.29,0.98,2.54,1.06,2.51,4.68,1.78,1.67,0.65,2.97,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.18,1.68,3.28,3.43,3.54,5.95,2.34,2.82,4.96,4.44,1.96,5.97,0.9,3.22,2.93,2.25,5.94,0.99,3.29,5.4,6,2.77,3.29,2.68,2.62,5.81,1.41,3.23,6.73,5.87,3.3,2.97,2.79,5.61,1.06,1.17,3.16,4.07,2.08,4.91,3.96,3.94,2.95,3.16,1.02,7.21,5.29,3.45,4.07,1.01,3.92,3.61,5.57,4.32,5.38,4.47,2.99,5.06,4.1,0.44,2.3,2.56,3.04,1.05,0.98,3.88,1.95,5.87,4.18,2.05,1.06,1.18,4.09,8.73,,,,,,,,,,,,,,,,,,,
