BANCHORY (INVERCANNIE) CHECK GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO664965,Long,-2.555604,Lat,57.059219,Elevation,205,ft,,,,,,,,,,,,,,,,,,,,,,
Station no ,5624/1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January ,,,,1.32,1.69,,9.26,,,1.6,,,3.62,1.77,5.68,1.71,5.41,4.21,1.45,2,3.98,1.92,1.23,1.55,1.25,4.57,2.67,2.88,1.97,5.72
February ,,,,0.34,1.96,,2.98,,,1.57,,,1.19,2.04,1.36,2.21,4.99,1.59,1.39,3.01,4.4,1.36,1.36,3.99,3.79,2.15,2.66,4.51,0.23,4.72
March ,,,,2.96,2.72,,4.27,,,2.86,,,0.6,1.41,0.49,2.59,4.63,1.13,2.28,2.06,2.59,3.33,0.29,3.29,1.93,1.62,2.37,4.42,1.37,2.28
April ,,,,7.12,5.05,,1.51,,,1.78,,,1.5,1.95,1.62,0.38,2.92,1.02,1.01,1.95,2.83,1.3,3.87,0.93,0.46,1.4,1.18,2.01,2.06,1.64
May ,,,,3.28,1.84,,2.07,,,1.88,,,4.19,3.13,4.19,2.65,4.27,3.55,1.86,1.55,1.5,2.16,1.33,4.44,2.12,0.36,2.51,2.55,1.62,0.83
June ,,,,0.99,3.43,,1.03,,,0.53,,,1.05,2.47,2.37,4.23,1.37,4.6,1.58,1.19,1.07,2.48,3.65,1.59,1.4,1.98,2.29,2.34,2.74,1.31
July ,,,,3.02,1.68,,4.43,,,7.51,,,1.04,2.91,3.3,4.97,2.52,2.64,3.33,4.39,5,1.49,3.33,2.87,0.59,4.25,6.87,7.02,1.98,3.58
August ,,,1.12,4.44,1.91,,2.99,,,1.41,,,4.02,1.24,4.77,3.23,0.12,6.96,3.76,2.79,3.22,3.78,1.76,3.08,0.51,3.96,5.75,5.23,0.54,6.31
September ,,,1.64,2.12,3.49,,1.03,,,2.02,,,2.92,2.88,3.01,4.34,2.2,1.94,1.56,6.55,1.33,1.03,2.58,1.12,2.5,4.9,1.89,1.76,0.65,3.08
October ,,,5.27,3.49,4.03,,3.95,,,4.56,,,3.04,5.4,4.2,0.46,2.37,2.61,3.15,1.12,1.01,4.08,1.99,5.87,4.35,2.1,1.11,1.26,4.31,9.18
November ,,,4.4,1.84,5.32,,1.24,,,6.06,,,2.87,4.39,1.97,6.8,2.86,0.62,4.92,4.21,9.15,3.47,2.32,7.64,1.8,1.47,1.56,0.56,7.95,5.4
December ,,,2.57,6.47,2.6,,5.08,,,3.08,,,1.26,3.49,7.51,4.47,2.63,4.47,2.24,2.26,2.51,3.88,3.08,4.37,5.28,4.58,4.55,5.79,6.73,2.46
Total ,,,,37.39,35.72,,39.84,,,34.86,,,27.3,33.08,40.47,38.04,36.29,35.34,28.53,33.08,38.59,30.28,26.79,40.74,25.98,33.34,35.41,40.33,32.15,46.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_26_pt1-page-231.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_31_pt1-page-133.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_30_pt1-page-016.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
