BIRCHINGTON THOR/BERESFORD LODGE,,,,,,,,,,,,
Grid ref,TR301690,Long,1.304721,Lat,51.373404,,,,,,,
Station no,RR6883,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.98,0.47,,,,,,,,,,
February,4.54,0.89,,,,,,,,,,
March,0.99,1.82,,,,,,,,,,
April,0.54,,,,,,,,,,,
May,0.92,,,,,,,,,,,
June,2.36,,,,,,,,,,,
July,1.63,,,,,,,,,,,
August,2.10,,,,,,,,,,,
September,0.47,,,,,,,,,,,
October,1.92,,,,,,,,,,,
November,2.33,,,,,,,,,,,
December,2.15,,,,,,,,,,,
Total,22.93,,,,,,,,,,,
Calc annual,22.93,3.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
