DULWICH-WOOD-PARK-(ALLEYN-PARK),,,,,,,,
Grid ref,TQ331721,Long,-0.08666,Lat,51.43228,Elevation,171,ft
Station no,RR4860,,,,,,,
,,,,,,,,
,1910,1911,1912,1913,1914,,,
January,,1.25,3.26,2.49,0.53,,,
February,,1.29,1.71,0.88,2.64,,,
March,,1.95,2.56,2.46,4.1,,,
April,,1.85,0.04,2.74,0.87,,,
May,,1.15,1.26,1.26,1.42,,,
June,,2.33,2.96,0.33,3.1,,,
July,,0.46,1.49,1.55,1.61,,,
August,,1.7,4.82,2.13,0.92,,,
September,,1.25,2.44,1.72,0.84,,,
October,,3.28,2.18,3.9,,,,
November,,3.23,1.96,2.36,,,,
December,,4.42,2.73,1.1,,,,
Total,,24.16,27.41,22.92,,,,
,,,,,,,,
Alleyn Park Road NGR matches elevation as exact house unknown,,,,,,,,
1914 Oct 29 Gauge moved to Dulwich Wood Park Road,,,,,,,,
