LEOMINSTER HAMPTON COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO519524,Long,-2.704682,Lat,52.167757,Elevation,212,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.6,3.6,2.15,3.02,1.75,1.89,0.7,1.44,1.92,2.89,2.76,0.97,3.77,2.02,0.58,0.66,2.87,1.6,2.12,2.06,2.61,4.37,0.49,1.4,0.38,4.2,3.33,2.11,1.15,3.23,2.65,0.88,4.3,1.77,,,,
February,,,,,2.6,1.92,2.82,2.09,1.47,3,2.84,3.67,2,3.86,2.5,3.48,1.08,-999,0.89,1.31,0.66,0.02,1.94,3.08,2.67,0.54,0.22,2.35,1.41,3.15,4.55,0.92,1.31,2.44,5.12,0.71,2.02,0.99,,,,
March,,,,,0.97,1.12,2.56,2.01,0.77,0.77,1.57,1.73,1.88,1.19,2.76,1.45,2.65,0.85,2.87,2.66,1.01,1.35,0.63,0.33,1.35,1.84,2.59,3.12,0.63,0.68,0.99,2.92,1.5,4.88,1.9,4.26,1.37,0.89,,,,
April,,,,,1.38,0.84,2.36,2.74,1.59,2.1,1.27,0.74,2.93,1.27,1.24,2.24,2.15,0.75,1.17,5.7,1.33,1.43,1.02,0.3,1.18,2.52,0.76,1.44,1.56,2.63,1.24,2.65,2.9,2.06,1.5,2.9,0.68,2.17,,,,
May,,,,,1.03,2.54,0.47,2.08,5.74,1.37,2.57,1.57,2.4,1.55,0.39,1.59,6.51,1.45,0.83,2.92,1.97,2.96,2.35,2.25,3.55,0.57,0.25,0.78,4.37,1.55,2.65,0.8,2.63,4.6,2.57,0.47,2.54,3.55,,,,
June,,,,,0.8,2.22,0.82,1.08,1.94,5.54,3.04,2.94,2.17,3.2,3.42,2.96,1.49,1.63,3.73,0.5,1.38,1.37,2.48,1.51,2.06,1.15,1.35,2.64,1.23,2.21,1.58,2.7,5.17,4.94,0.75,2.94,3.16,2.85,,,,
July,,,,2.54,0.61,4.18,0.91,3.89,0.71,2.47,7.02,1.3,3.67,3.29,3.51,0.17,2.68,1.3,5.94,4.16,1.48,1.17,2.57,2.58,3.08,2.45,1.24,2.81,0.93,0.88,1.29,2.32,1.39,2.8,2.09,1.83,0.59,4.07,,,,
August,,,,2.7,2.93,2.94,1.41,3.07,6.52,5.03,0.47,3.69,2.32,1.2,2.06,2.5,1.13,2.24,2.24,2.63,3.01,4.54,3.1,1.45,1.96,2.35,1.83,3.21,1.4,0.6,3.95,2.55,4.77,4.55,1.82,6.22,1.48,2.38,,,,
September,,,,1.53,4.6,3.56,4.74,3.69,2.76,3.46,2.71,1.67,2.29,5.26,2.41,3.07,2.79,1.36,0.38,1.38,0.87,1.42,2.02,0.95,2.41,1.18,2.06,2.92,0.52,2.48,0.69,1.89,1.87,3.27,2.34,1.59,1.19,0.64,,,,
October,,,,1.77,2.38,5.42,2.5,2.2,3.98,0.68,4.61,1.28,5.2,2.78,0.39,2.55,3.76,1.89,0.63,3,1.4,7.32,1.61,1.77,3.17,2.41,2.3,1.68,3.96,3,3.61,1.89,3.41,7.49,0.77,1.92,5.52,8.98,,,,
November,,,,1.91,2.29,4.17,3.61,3.34,2.87,0.81,2.22,2.57,4.56,4.01,1.53,3.31,2.25,2.91,6.85,0.98,2.25,2.5,2.11,1.31,3.66,4.32,0.88,1.14,1.68,2.01,3.35,0.9,3.63,1.92,1.61,3.28,2.12,3.21,,,,
December,,,,0.66,1.88,1.47,6.44,1.76,1.96,0.83,3.3,2.4,3.05,0.63,2.36,0.74,3.78,2,2.71,1.27,1.08,3.13,1.19,3.77,1.53,2.1,3.24,3.2,2.64,2.57,5.66,6.11,2.18,2.48,2.12,0.76,2.27,3.72,,,,
Total,,,,,24.07,33.98,30.79,30.97,32.06,27.95,32.32,25,34.39,31.13,25.33,25.03,34.04,18.91,28.82,27.17,19.31,28.81,23.14,21.36,29.23,25.8,17.21,26.69,20.71,25.96,32.89,27.76,31.91,44.66,25.24,27.76,27.24,35.22,26,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
