LEATHERHEAD-WINDFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ169564,Long,-0.32477374,Lat,51.294739,Elevation,175,ft.,,,,,,,,,,,,
Station no,131/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.79,2.81,2.27,2.07,1.05,5.45,5.95,2.69,5.6,2.5,2.29,2.68,5.4,1.6,1.9,,,,,
February,1.69,0.41,2.78,0.26,3.62,2.12,4.62,0.65,1.61,2.1,2.58,0.67,1.6,0.85,1.51,,,,,
March,0.34,1.82,3.46,2.64,0.53,1.45,4.3,0.41,1.44,3.45,3.73,1.41,0.34,0.11,1.3,,,,,
April,4.69,2.78,0.55,2.24,3.02,1.86,2.91,0.13,3.12,2.42,1.94,1.66,0.99,1.87,1.24,,,,,
May,2.5,4.48,3.17,0.61,2.02,0.53,2.2,1.89,1.87,1.43,1.69,3.47,2.93,0.96,1.48,,,,,
June,1.56,1.31,1.56,0.99,3.94,2.88,1.8,0.62,1.84,0.49,2.51,0.31,1.66,1.76,1.8,,,,,
July,3.32,2.62,1.86,1.92,0.84,3.99,0.91,1.81,2.91,2.33,3.88,2.06,1.32,1.91,3.69,,,,,
August,4.67,0.3,0.78,1.79,3.17,3.14,1.36,2.72,1.47,0.02,3.52,2.87,1.1,2.16,1.61,,,,,
September,2.58,1.97,2.74,1.43,3.76,2.49,2.19,2.08,1.4,1.44,0.39,1.8,1.97,2.24,2.32,,,,,
October,0.67,5.57,1.8,1.77,3.75,2.1,3.22,2.9,6.05,2.86,1.04,3.27,3.11,3.88,3.68,,,,,
November,3.46,1.24,1.24,2.55,6.43,4.11,1.75,4.48,5.06,7.45,3.03,2.12,1.34,4.1,0.34,,,,,
December,0.55,0.49,0.53,7.5,3.94,3.15,4.74,3.98,1.58,1.45,1.74,2.84,1.95,2.36,3.67,,,,,
Total,27.82,25.8,22.74,25.77,36.07,33.27,35.95,24.36,33.95,27.94,28.34,25.16,23.71,23.8,24.54,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Windfield. Altitudes match, based on corrected figure on record",,,,,,,,,,,,,,,,,,,,
